t,n_top,dt,dy,dx,dy_residual,dx_residual,confidence,q_eff
304,1000304,5,4.984191,-168.00789,9.984191,-168.00789,0.018357089,
305,1000305,5,4.9858306,-192.93633,9.9858306,-192.93633,0.01749312,
306,1000306,5,5.012312,-52.963959,10.012312,-52.963959,0.019943234,
307,1000307,5,4.9861945,91.015494,9.9861945,91.015494,0.020575743,
308,1000308,5,5.0028518,172.98258,10.002852,172.98258,0.021188789,
309,1000309,5,4.9897293,51.977138,9.9897293,51.977138,0.022511975,
310,1000310,5,5.0031987,-62.97044,10.003199,-62.97044,0.025357375,
311,1000311,5,4.9396633,214.00727,9.9396633,214.00727,0.020182044,
312,1000312,5,4.9170327,-106.04057,9.9170327,-106.04057,0.017283996,
313,1000313,5,-15.964809,134.99517,-10.964809,134.99517,0.019810155,
314,1000314,5,5.0317791,12.024631,10.031779,12.024631,0.017969481,
315,1000315,5,-10.031543,-107.04235,-5.0315431,-107.04235,0.01752711,
316,1000316,5,5.0397451,112.02025,10.039745,112.02025,0.016816737,
317,1000317,5,4.992072,129.03737,9.992072,129.03737,0.015103997,
318,1000318,5,4.9916613,41.920589,9.9916613,41.920589,0.016147461,
319,1000319,5,5.0150621,-183.03094,10.015062,-183.03094,0.019705216,
320,1000320,5,5.0153484,147.93931,10.015348,147.93931,0.01919801,
321,1000321,5,4.9840117,-65.942726,9.9840117,-65.942726,0.020338139,
322,1000322,5,11.993724,218.00073,16.993724,218.00073,0.014998696,
323,1000323,5,25.98692,92.008587,30.98692,92.008587,0.015562773,
324,1000324,5,4.9811234,6.0248444,9.9811234,6.0248444,0.021854603,
325,1000325,5,4.9800213,-59.005648,9.9800213,-59.005648,0.017018751,
326,1000326,5,-82.989832,-114.95794,-77.989832,-114.95794,0.015501782,
327,1000327,5,0.043064875,229.97724,5.0430649,229.97724,0.01563384,
328,1000328,5,5.010073,254.9907,10.010073,254.9907,0.016137494,
329,1000329,5,38.043737,-156.95804,43.043737,-156.95804,0.016228775,
330,1000330,5,4.9913181,80.025952,9.9913181,80.025952,0.022047632,
331,1000331,5,197.03065,39.026432,202.03065,39.026432,0.017377432,
332,1000332,5,-4.9603355,-112.01657,0.039664514,-112.01657,0.015527526,
333,1000333,5,5.0188275,-0.97067204,10.018828,-0.97067204,0.02146179,
334,1000334,5,5.0224829,142.99603,10.022483,142.99603,0.018056067,
335,1000335,5,-23.014017,-86.01606,-18.014017,-86.01606,0.01611757,
336,1000336,5,-17.027165,-181.0439,-12.027165,-181.0439,0.017468737,
337,1000337,5,4.9812735,-125.22241,9.9812735,-125.22241,0.019057247,
338,1000338,5,4.9596524,7.9890436,9.9596524,7.9890436,0.018226918,
339,1000339,5,59.971938,137.97236,64.971938,137.97236,0.017527462,
340,1000340,5,-65.008194,-190.02562,-60.008194,-190.02562,0.017149414,
341,1000341,5,4.9990196,-72.267783,9.9990196,-72.267783,0.023814206,
342,1000342,5,5.0117427,-190.92355,10.011743,-190.92355,0.027750116,
343,1000343,5,4.9926129,-237.8438,9.9926129,-237.8438,0.020305866,
344,1000344,5,5.0156248,-61.011696,10.015625,-61.011696,0.018894829,
345,1000345,5,4.9912812,80.985884,9.9912812,80.985884,0.023209208,
346,1000346,5,16.041592,103.00194,21.041592,103.00194,0.016822451,
347,1000347,5,4.9964384,216.97544,9.9964384,216.97544,0.027916921,
348,1000348,5,4.9985186,150.08335,9.9985186,150.08335,0.021500701,
349,1000349,5,-25.005817,-149.99032,-20.005817,-149.99032,0.019838776,
