n_start,t,n_top,peak_id,k_peak,k_peak_sub,peak_value
1000000,59,1000059,0,392,391.86116,0.00059580273
1000000,59,1000059,1,192,191.93143,0.00058504029
1000000,59,1000059,2,306,306,0.00059136186
1000000,60,1000060,0,325,325,0.00058281309
1000000,60,1000060,1,259,258.86033,0.00058569404
1000000,60,1000060,2,321,321.2413,0.00061869195
1000000,61,1000061,0,366,366,0.00059036934
1000000,61,1000061,1,184,183.71336,0.00060079789
1000000,61,1000061,2,367,367,0.00060525784
1000000,62,1000062,0,409,408.72829,0.00060660381
1000000,62,1000062,1,110,109.56113,0.00061791673
1000000,62,1000062,2,273,272.95867,0.00062458669
1000000,63,1000063,0,279,279,0.00059125053
1000000,63,1000063,1,176,175.7316,0.00059425991
1000000,63,1000063,2,274,274.06225,0.00060635532
1000000,64,1000064,0,296,296.51396,0.00058067373
1000000,64,1000064,1,297,296.5722,0.00058156356
1000000,64,1000064,2,435,435.52359,0.00061024436
1000000,65,1000065,0,397,397.93881,0.0005838253
1000000,65,1000065,1,398,397.73719,0.00059093969
1000000,65,1000065,2,454,454,0.00058725877
1000000,66,1000066,0,481,481.61437,0.00060056574
1000000,66,1000066,1,482,481.59728,0.00060346195
1000000,66,1000066,2,484,484.48509,0.00060601945
1000000,67,1000067,0,326,325.17396,0.00059126677
1000000,67,1000067,1,325,324.89067,0.00059438212
1000000,67,1000067,2,324,324.62749,0.00059238469
1000000,68,1000068,0,407,407.47702,0.00058146898
1000000,68,1000068,1,408,408.98622,0.00058081322
1000000,68,1000068,2,409,408.49586,0.00058059868
1000000,69,1000069,0,492,492.2789,0.00062045996
1000000,69,1000069,1,494,494.85334,0.00062280011
1000000,69,1000069,2,495,494.70528,0.00062546858
1000000,70,1000070,0,357,356.67337,0.00063313333
1000000,70,1000070,1,356,355.9382,0.00062202059
1000000,70,1000070,2,355,355.21626,0.00063068832
1000000,71,1000071,0,313,312.51127,0.00059902356
1000000,71,1000071,1,312,312.51076,0.00059868558
1000000,71,1000071,2,306,306.17073,0.00058347601
1000000,72,1000072,0,422,422,0.00059126508
1000000,72,1000072,1,423,422.99083,0.00061203644
1000000,72,1000072,2,424,424,0.00059048863
1000000,73,1000073,0,372,372,0.00060945221
1000000,73,1000073,1,371,370.52701,0.00063744832
1000000,73,1000073,2,370,370.54762,0.00063667104
1000000,74,1000074,0,421,420.78837,0.00063368259
1000000,74,1000074,1,425,424.72904,0.00063145421
1000000,74,1000074,2,298,297.13389,0.00065765077
1000000,75,1000075,0,471,470.81161,0.00060123978
1000000,75,1000075,1,482,482.34729,0.00060468623
1000000,75,1000075,2,271,270.82138,0.00060956122
1000000,76,1000076,0,475,475.47367,0.0006040068
1000000,76,1000076,1,478,477.4617,0.00060179062
1000000,76,1000076,2,330,329.90735,0.00059247786
1000000,77,1000077,0,473,473.06017,0.00058157148
1000000,77,1000077,1,470,469.75643,0.00061123279
1000000,77,1000077,2,462,462.75806,0.00059457219
1000000,78,1000078,0,405,404.89405,0.00060023448
1000000,78,1000078,1,339,339.09372,0.00060301916
1000000,78,1000078,2,320,320,0.00062145199
1000000,79,1000079,0,235,234.2862,0.00060824471
1000000,79,1000079,1,234,234,0.00061157048
1000000,79,1000079,2,233,233.7078,0.00061323313
1000000,80,1000080,0,274,274.13996,0.00058758273
1000000,80,1000080,1,183,182.6917,0.00058669513
1000000,80,1000080,2,130,129.81623,0.00058846889
1000000,81,1000081,0,332,332,0.00058390585
1000000,81,1000081,1,84,83.521122,0.0005841368
1000000,81,1000081,2,83,83.585503,0.0005833579
1000000,82,1000082,0,415,415.12498,0.00059490364
1000000,82,1000082,1,34,33.699926,0.00059313115
1000000,82,1000082,2,417,416.66316,0.00059056853
1000000,83,1000083,0,492,492.11148,0.00057324297
1000000,83,1000083,1,97,97.012888,0.00058412473
1000000,83,1000083,2,267,267.20457,0.00057202981
1000000,84,1000084,0,477,476.62141,0.00059025149
1000000,84,1000084,1,140,140.49296,0.00061690429
1000000,84,1000084,2,197,197.61797,0.00058848146
1000000,85,1000085,0,475,474.95551,0.00060688585
1000000,85,1000085,1,325,324.92572,0.00058759231
1000000,85,1000085,2,398,398.57304,0.00060834798
1000000,86,1000086,0,484,484.56092,0.00056836689
1000000,86,1000086,1,329,329.24102,0.00057502404
1000000,86,1000086,2,331,330.62379,0.00056869987
1000000,87,1000087,0,403,402.61544,0.00060801059
1000000,87,1000087,1,396,396.25768,0.00064043529
1000000,87,1000087,2,397,397.52599,0.00062288935
1000000,88,1000088,0,399,399,0.00058157195
1000000,88,1000088,1,396,396,0.00058957002
1000000,88,1000088,2,397,397.96774,0.00059512166
1000000,89,1000089,0,402,402.04323,0.00058602543
1000000,89,1000089,1,404,404.01701,0.00059790958
1000000,89,1000089,2,262,261.55416,0.00059145635
1000000,90,1000090,0,411,411.41857,0.00058158062
1000000,90,1000090,1,413,413.13672,0.00059380392
1000000,90,1000090,2,259,258.98788,0.00058657795
1000000,91,1000091,0,482,482.17754,0.00057424429
1000000,91,1000091,1,289,288.94815,0.00056423685
1000000,91,1000091,2,259,259.03157,0.0005848232
1000000,92,1000092,0,439,439.13998,0.0005835925
1000000,92,1000092,1,426,426.27411,0.00059455708
1000000,92,1000092,2,95,95,0.00057822037
1000000,93,1000093,0,438,437.82853,0.00057580156
1000000,93,1000093,1,436,436.24664,0.00057490485
1000000,93,1000093,2,50,49.965555,0.00058279191
1000000,94,1000094,0,347,346.67509,0.00056536219
1000000,94,1000094,1,245,245,0.0005655822
1000000,94,1000094,2,59,58.967412,0.00056447733
1000000,95,1000095,0,259,258.53823,0.00057624755
1000000,95,1000095,1,258,258.90198,0.00057414624
1000000,95,1000095,2,209,209.11431,0.00057647564
1000000,96,1000096,0,289,288.96741,0.00057190508
1000000,96,1000096,1,362,362.05939,0.00057912682
1000000,96,1000096,2,117,116.29082,0.00056480314
1000000,97,1000097,0,444,444.24963,0.00059344754
1000000,97,1000097,1,445,444.14179,0.00059010847
1000000,97,1000097,2,47,47,0.00059467099
1000000,98,1000098,0,495,495,0.00057689504
1000000,98,1000098,1,496,496.22266,0.00058789382
1000000,98,1000098,2,26,26,0.00059255184
1000000,99,1000099,0,477,476.22911,0.00058189798
1000000,99,1000099,1,476,476,0.00058945078
1000000,99,1000099,2,269,268.71388,0.00057646792
1000000,100,1000100,0,431,430.73605,0.00060890194
1000000,100,1000100,1,430,429.60818,0.00059057584
1000000,100,1000100,2,356,356.44289,0.00058079513
1000000,101,1000101,0,402,401.33069,0.00057325336
1000000,101,1000101,1,401,401.00177,0.00057613173
1000000,101,1000101,2,396,396.55168,0.0005875591
1000000,102,1000102,0,469,469,0.00061078992
1000000,102,1000102,1,470,470.3333,0.0006385587
1000000,102,1000102,2,471,471.16622,0.00063300342
1000000,103,1000103,0,477,477.17544,0.00058178964
1000000,103,1000103,1,378,377.62988,0.00060056769
1000000,103,1000103,2,377,377,0.00059390322
1000000,104,1000104,0,263,262.73173,0.00056812249
1000000,104,1000104,1,206,206,0.00057602078
1000000,104,1000104,2,205,204.94752,0.00059645373
1000000,105,1000105,0,167,167.08151,0.00060920974
1000000,105,1000105,1,165,165,0.0006035569
1000000,105,1000105,2,164,164.34353,0.00061322048
1000000,106,1000106,0,191,191.20077,0.00061144946
1000000,106,1000106,1,193,192.72336,0.00060745108
1000000,106,1000106,2,93,93,0.00061389108
1000000,107,1000107,0,147,146.83646,0.00058322943
1000000,107,1000107,1,303,303.34559,0.00058311325
1000000,107,1000107,2,304,304,0.00058023306
1000000,108,1000108,0,310,310,0.00059524523
1000000,108,1000108,1,311,310.26202,0.00059947138
1000000,108,1000108,2,312,312.54182,0.0006214559
1000000,109,1000109,0,363,362.93552,0.00060544812
1000000,109,1000109,1,380,379.9844,0.00061822204
1000000,109,1000109,2,184,184,0.00060533287
1000000,110,1000110,0,252,251.56591,0.00063118715
1000000,110,1000110,1,251,250.31349,0.00062696326
1000000,110,1000110,2,160,159.7823,0.00061966393
1000000,111,1000111,0,174,174.19709,0.00060811393
1000000,111,1000111,1,156,155.60354,0.00059933965
1000000,111,1000111,2,152,152.9172,0.00059533298
1000000,112,1000112,0,217,217.32006,0.0006235465
1000000,112,1000112,1,218,218.26122,0.00061399388
1000000,112,1000112,2,219,218.95746,0.00061699032
1000000,113,1000113,0,222,222.20349,0.00058688695
1000000,113,1000113,1,210,209.58153,0.00059387741
1000000,113,1000113,2,209,209.60323,0.00058965767
1000000,114,1000114,0,154,153.4658,0.00057666014
1000000,114,1000114,1,153,153.72513,0.0005776591
1000000,114,1000114,2,152,152.27325,0.00058309531
1000000,115,1000115,0,17,16.763531,0.0006165498
1000000,115,1000115,1,339,339,0.00060567397
1000000,115,1000115,2,340,339.89475,0.00060922074
1000000,116,1000116,0,103,103.66604,0.00059887032
1000000,116,1000116,1,333,333.10687,0.00059155318
1000000,116,1000116,2,408,408.10546,0.00059711175
1000000,117,1000117,0,97,96.288022,0.000590779
1000000,117,1000117,1,325,325.29886,0.000579451
1000000,117,1000117,2,404,404.2861,0.00058401206
1000000,118,1000118,0,159,158.63167,0.00060366668
1000000,118,1000118,1,413,413.14452,0.0006079894
1000000,118,1000118,2,415,415.04984,0.00060742998
1000000,119,1000119,0,220,220.2908,0.00060987499
1000000,119,1000119,1,372,372,0.00061055886
1000000,119,1000119,2,371,370.52144,0.0006409938
1000000,120,1000120,0,251,251,0.0005898987
1000000,120,1000120,1,259,258.50008,0.00059112374
1000000,120,1000120,2,258,258.50079,0.00059112128
1000000,121,1000121,0,199,199,0.00058100571
1000000,121,1000121,1,319,319.88498,0.00058478206
1000000,121,1000121,2,198,197.99523,0.00059299915
1000000,122,1000122,0,136,136.00937,0.00059832937
1000000,122,1000122,1,361,361.00302,0.00059378141
1000000,122,1000122,2,134,134.01528,0.00060443849
1000000,123,1000123,0,67,66.873798,0.00061454458
1000000,123,1000123,1,344,343.92376,0.00060544885
1000000,123,1000123,2,66,66,0.00058922137
1000000,124,1000124,0,27,26.242757,0.00062609604
1000000,124,1000124,1,393,393.21172,0.0006018872
1000000,124,1000124,2,26,25.928706,0.00063586784
1000000,125,1000125,0,139,139.2236,0.00061076544
1000000,125,1000125,1,443,443.44214,0.00060844267
1000000,125,1000125,2,156,155.84087,0.00060577145
1000000,126,1000126,0,170,170,0.00060522581
1000000,126,1000126,1,360,359.80886,0.00060554615
1000000,126,1000126,2,171,170.76776,0.00062277056
1000000,127,1000127,0,143,142.86615,0.00058154721
1000000,127,1000127,1,401,400.75589,0.00058010486
1000000,127,1000127,2,209,209.09281,0.00058221954
1000000,128,1000128,0,78,77.587052,0.00059909633
1000000,128,1000128,1,409,409,0.00060420841
1000000,128,1000128,2,254,254.38315,0.00059987423
1000000,129,1000129,0,83,83.577346,0.00060708355
1000000,129,1000129,1,482,482,0.0006157561
1000000,129,1000129,2,87,87,0.00060976079
1000000,130,1000130,0,94,93.881059,0.00061888245
1000000,130,1000130,1,375,375,0.0006167633
1000000,130,1000130,2,133,133,0.0006139891
1000000,131,1000131,0,28,28,0.00059853395
1000000,131,1000131,1,398,397.69983,0.00060121087
1000000,131,1000131,2,27,27.018104,0.0006296296
1000000,132,1000132,0,204,204.5889,0.0006266419
1000000,132,1000132,1,391,391.09106,0.00061175816
1000000,132,1000132,2,205,204.98027,0.00062952551
1000000,133,1000133,0,217,217.20079,0.000600423
1000000,133,1000133,1,380,380.12266,0.00063085565
1000000,133,1000133,2,218,217.77026,0.00059454006
1000000,134,1000134,0,193,192.94359,0.00062752585
1000000,134,1000134,1,402,401.84822,0.0006049922
1000000,134,1000134,2,189,188.6308,0.0006215304
1000000,135,1000135,0,187,186.18746,0.00060221841
1000000,135,1000135,1,342,341.62877,0.00060320828
1000000,135,1000135,2,186,186,0.00061509849
1000000,136,1000136,0,211,211.65126,0.00063253321
1000000,136,1000136,1,348,348.24677,0.0006272005
1000000,136,1000136,2,212,211.80324,0.00063997562
1000000,137,1000137,0,193,192.91234,0.00059021302
1000000,137,1000137,1,492,491.77296,0.00060077302
1000000,137,1000137,2,165,165.28945,0.00059465911
1000000,138,1000138,0,228,228,0.00061553062
1000000,138,1000138,1,487,487.00944,0.00062875328
1000000,138,1000138,2,229,229,0.0006350787
1000000,139,1000139,0,392,392.59114,0.00062842451
1000000,139,1000139,1,457,457,0.00061175874
1000000,139,1000139,2,393,392.61685,0.00063086401
1000000,140,1000140,0,403,403.17085,0.00060699151
1000000,140,1000140,1,498,498.05248,0.00061187596
1000000,140,1000140,2,406,406.28262,0.00064210653
1000000,141,1000141,0,439,439.27808,0.00058722204
1000000,141,1000141,1,480,479.85866,0.00059886595
1000000,141,1000141,2,478,478.2321,0.00059909493
1000000,142,1000142,0,456,456.27394,0.00060253894
1000000,142,1000142,1,477,477,0.00060099687
1000000,142,1000142,2,476,475.74075,0.00063143599
1000000,143,1000143,0,489,489.32755,0.00062862938
1000000,143,1000143,1,490,490,0.00062140863
1000000,143,1000143,2,491,491,0.00061430886
1000000,144,1000144,0,322,322,0.00060530368
1000000,144,1000144,1,321,320.34252,0.0006167454
1000000,144,1000144,2,320,320.2741,0.00061830206
1000000,145,1000145,0,339,339.48107,0.00064163059
1000000,145,1000145,1,340,339.37625,0.00064029774
1000000,145,1000145,2,341,341.16893,0.00062819451
1000000,146,1000146,0,347,346.89637,0.00059553934
1000000,146,1000146,1,297,296.93391,0.00060208175
1000000,146,1000146,2,390,390.20189,0.00060610231
1000000,147,1000147,0,301,301,0.00059119413
1000000,147,1000147,1,297,297.21198,0.00058954219
1000000,147,1000147,2,396,396.36512,0.00058444286
1000000,148,1000148,0,297,296.39261,0.00062231851
1000000,148,1000148,1,296,296.46217,0.00062453723
1000000,148,1000148,2,315,315,0.00061343154
1000000,149,1000149,0,287,286.36855,0.00060409166
1000000,149,1000149,1,286,285.46471,0.0006073179
1000000,149,1000149,2,285,285.49453,0.00060742787
1000000,150,1000150,0,334,334.16901,0.00058832387
1000000,150,1000150,1,352,352.4211,0.00061042807
1000000,150,1000150,2,353,353,0.00060487205
1000000,151,1000151,0,393,393.43909,0.00059308596
1000000,151,1000151,1,394,394,0.00059142211
1000000,151,1000151,2,396,396.72862,0.00060842632
1000000,152,1000152,0,417,416.94956,0.00059409619
1000000,152,1000152,1,271,271.23408,0.00060108413
1000000,152,1000152,2,134,133.51585,0.00061575397
1000000,153,1000153,0,447,447.2827,0.00063285332
1000000,153,1000153,1,448,448,0.00062119742
1000000,153,1000153,2,449,448.31579,0.00061642796
1000000,154,1000154,0,224,223.12801,0.00061651122
1000000,154,1000154,1,223,222.16611,0.0006311748
1000000,154,1000154,2,222,222.35754,0.00063484532
1000000,155,1000155,0,174,174,0.00062775377
1000000,155,1000155,1,173,172.05328,0.00064574344
1000000,155,1000155,2,172,171.69345,0.00065129833
1000000,156,1000156,0,184,184.66235,0.00060419506
1000000,156,1000156,1,185,184.62768,0.00060996629
1000000,156,1000156,2,198,198,0.0005972974
1000000,157,1000157,0,172,171.81504,0.00060629724
1000000,157,1000157,1,128,127.77567,0.00060286443
1000000,157,1000157,2,125,124.35127,0.00062206139
1000000,158,1000158,0,69,68.690811,0.00058629492
1000000,158,1000158,1,68,67.533432,0.00057974845
1000000,158,1000158,2,67,67.480012,0.00057997488
1000000,159,1000159,0,47,46.291632,0.00062020425
1000000,159,1000159,1,46,46.292421,0.00062631442
1000000,159,1000159,2,45,44.371248,0.00060298913
1000000,160,1000160,0,7,7,0.00060941448
1000000,160,1000160,1,6,6.3290254,0.00061619472
1000000,160,1000160,2,147,147,0.00060364225
1000000,161,1000161,0,105,105,0.00059075784
1000000,161,1000161,1,106,105.93506,0.00060375301
1000000,161,1000161,2,110,109.28745,0.00057899821
1000000,162,1000162,0,85,84.647167,0.00058220825
1000000,162,1000162,1,84,84.861536,0.00057799096
1000000,162,1000162,2,180,180,0.00057731233
1000000,163,1000163,0,87,87.248553,0.00060465234
1000000,163,1000163,1,88,88,0.00059066246
1000000,163,1000163,2,193,192.9341,0.00058986176
1000000,164,1000164,0,72,72,0.00062062378
1000000,164,1000164,1,71,70.333466,0.00065017093
1000000,164,1000164,2,70,70.653144,0.00065438906
1000000,165,1000165,0,132,132,0.00059306612
1000000,165,1000165,1,133,132.98211,0.00061105629
1000000,165,1000165,2,134,133.96036,0.00059173062
1000000,166,1000166,0,61,60.596922,0.00059318846
1000000,166,1000166,1,60,60.601875,0.00059051868
1000000,166,1000166,2,56,55.830363,0.00062773474
1000000,167,1000167,0,114,114.4049,0.00061830658
1000000,167,1000167,1,8,8.2191961,0.00059484197
1000000,167,1000167,2,115,114.66886,0.0006149677
1000000,168,1000168,0,13,13,0.00060408647
1000000,168,1000168,1,8,8.4818718,0.00066138773
1000000,168,1000168,2,12,11.674152,0.00065939333
1000000,169,1000169,0,45,45.143252,0.00060465196
1000000,169,1000169,1,155,155.76003,0.00060830157
1000000,169,1000169,2,156,156.29089,0.00062129763
1000000,170,1000170,0,350,350.35203,0.00059218117
1000000,170,1000170,1,420,420.19441,0.00061385448
1000000,170,1000170,2,421,421,0.00059752759
1000000,171,1000171,0,404,403.71755,0.00059183589
1000000,171,1000171,1,477,476.8482,0.00059676406
1000000,171,1000171,2,273,272.95963,0.00058784918
1000000,172,1000172,0,494,494.43413,0.00062485436
1000000,172,1000172,1,495,494.1323,0.00062195654
1000000,172,1000172,2,298,298.19217,0.00059576517
