center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
692,0,all,401,7284,110,110.0,97,0.24189526184538654,280,0.6982543640897756,7272,0.33655498024354796,5.619841569081368,61,147,21,20,41,0.6721311475409836,0.1422647647711301,3.612895172166465,1.0,200,200,0,0,,,,,,,,,,
865,0,all,401,5967,122,122.0,106,0.26433915211970077,265,0.6608478802992519,5952,0.3258832901066055,5.5622542237809665,61,118,24,22,37,0.6065573770491803,0.10564951013180897,3.477985994948456,1.0,200,200,0,0,,,,,,,,,,
1258,0,all,401,4161,141,141.0,125,0.3117206982543641,246,0.6134663341645885,4146,0.30301510851963626,5.482645946272855,61,86,27,24,32,0.5245901639344263,0.060011433869390625,3.3157006071623036,1.0,200,200,0,0,,,,,,,,,,
1499,0,all,401,3311,150,150.0,134,0.3341645885286783,237,0.5910224438902744,3296,0.2851284314003675,5.441800048750126,61,56,30,26,29,0.47540983606557374,0.021201754407310466,3.1718688120704157,1.0,200,200,0,0,,,,,,,,,,
593,0,all,401,8446,102,102.0,91,0.22693266832917705,290,0.7231920199501247,8436,0.3503332134494766,5.655861376690219,61,177,19,18,43,0.7049180327868853,0.17520470095669277,3.6694972674318365,1.0,200,200,0,0,,,,,,,,,,
1046,0,all,401,4914,131,131.0,118,0.2942643391521197,259,0.6458852867830424,4902,0.3037827482192023,5.53685928394458,61,78,25,23,36,0.5901639344262295,0.04288405487106846,3.4218022471463767,1.0,200,200,0,0,,,,,,,,,,
1256,0,all,401,4223,140,140.0,124,0.3092269326683292,247,0.6159600997506235,4208,0.3014695664607046,5.486831452912366,61,61,30,26,23,0.3770491803278688,0.06157145567444762,2.955877287390125,1.0,200,200,0,0,,,,,,,,,,
924,0,all,401,5496,127,127.0,115,0.286783042394015,264,0.6583541147132169,5485,0.3192729764316574,5.557453591248609,61,128,21,20,41,0.6721311475409836,0.05926113622097825,3.583389028655724,1.0,200,200,0,0,,,,,,,,,,
1102,0,all,401,4686,137,137.0,123,0.30673316708229426,252,0.628428927680798,4673,0.2946340787608645,5.5086802230499075,61,71,24,23,38,0.6229508196721312,0.020671918891489324,3.4527330351999233,1.0,200,200,0,0,,,,,,,,,,
1019,0,all,401,4950,131,131.0,117,0.29177057356608477,258,0.6433915211970075,4937,0.30119628365248097,5.533192270793702,61,79,27,24,29,0.47540983606557374,0.055455538607005854,3.2216649281441363,1.0,200,200,0,0,,,,,,,,,,
671,0,all,401,7453,108,108.0,95,0.23690773067331672,282,0.7032418952618454,7441,0.3394675750620594,5.627271592497256,61,142,21,20,41,0.6721311475409836,0.16851749705829316,3.6025098937100717,1.0,200,200,0,0,,,,,,,,,,
652,0,all,401,7639,106,106.0,91,0.22693266832917705,282,0.7032418952618454,7625,0.3508579649547627,5.627591831585921,61,135,20,18,40,0.6557377049180327,0.0792073436802952,3.570901953021697,1.0,200,200,0,0,,,,,,,,,,
711,0,all,401,7126,110,110.0,97,0.24189526184538654,280,0.6982543640897756,7114,0.3438881351182634,5.619426394592918,61,140,22,21,40,0.6557377049180327,0.18497693219703498,3.5827963852956253,1.0,200,200,0,0,,,,,,,,,,
1239,0,all,401,4269,141,141.0,124,0.3092269326683292,245,0.6109725685785536,4253,0.30078150210241344,5.479133518137157,61,76,28,25,31,0.5081967213114754,0.07051719589248584,3.286945442948807,1.0,200,200,0,0,,,,,,,,,,
579,0,all,401,8488,101,101.0,88,0.2194513715710723,289,0.7206982543640897,8476,0.35065008375711776,5.652489617666452,61,201,16,15,46,0.7540983606557377,0.14673441060580109,3.741078244403965,1.0,200,200,0,0,,,,,,,,,,
695,0,all,401,7252,110,110.0,97,0.24189526184538654,280,0.6982543640897756,7240,0.3384995835205604,5.619713378141482,61,149,21,20,41,0.6721311475409836,0.14062598582688102,3.614441936262369,1.0,200,200,0,0,,,,,,,,,,
1360,0,all,401,3830,148,148.0,137,0.341645885286783,244,0.6084788029925187,3820,0.2915603810788942,5.472662131388747,61,80,26,24,34,0.5573770491803278,0.07751491019080554,3.3675043601750927,1.0,200,200,0,0,,,,,,,,,,
851,0,all,401,6111,122,122.0,108,0.26932668329177056,267,0.6658354114713217,6098,0.3230417440285488,5.570118148404983,61,100,25,23,36,0.5901639344262295,0.08660633453769719,3.4352871512980605,1.0,200,200,0,0,,,,,,,,,,
830,0,all,401,6328,119,119.0,105,0.26184538653366585,270,0.6733167082294265,6315,0.32825078969048077,5.581530774193654,61,117,23,21,38,0.6229508196721312,0.062453694573122095,3.505048898040299,1.0,200,200,0,0,,,,,,,,,,
524,0,all,401,9254,90,90.0,74,0.18453865336658354,297,0.7406483790523691,9239,0.36346082841592386,5.680950632530776,61,214,16,15,46,0.7540983606557377,0.247711373312017,3.7475107363470204,1.0,200,200,0,0,,,,,,,,,,
971,0,all,401,5197,126,126.0,111,0.27680798004987534,262,0.6533665835411472,5183,0.31171020000676763,5.548838530723008,61,116,23,20,37,0.6065573770491803,0.11580069535073306,3.4905460294120405,1.0,200,200,0,0,,,,,,,,,,
849,0,all,401,6109,121,121.0,107,0.26683291770573564,268,0.6683291770573566,6096,0.32354228017046355,5.573757948824782,61,110,25,23,36,0.5901639344262295,0.13353540680895643,3.4456216206818646,1.0,200,200,0,0,,,,,,,,,,
