center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
1378,0,all,401,3704,150,150.0,139,0.34663341645885287,242,0.6034912718204489,3694,0.27990431902740237,5.464156814197873,61,76,27,25,34,0.5573770491803278,0.05307353423512693,3.356465307633226,1.0,200,200,0,0,,,,,,,,,,
879,0,all,401,5907,121,121.0,105,0.26184538653366585,266,0.6633416458852868,5892,0.3284951793951482,5.565902190899121,61,111,22,20,39,0.639344262295082,0.045697339286363714,3.5279626412269787,1.0,200,200,0,0,,,,,,,,,,
1457,0,all,401,3527,151,151.0,139,0.34663341645885287,240,0.5985037406483791,3516,0.29643033330220175,5.4556967596198795,61,47,34,32,23,0.3770491803278688,0.025074360329012144,2.919118821283533,1.0,200,200,0,0,,,,,,,,,,
699,0,all,401,7131,111,111.0,98,0.24438902743142144,279,0.6957605985037406,7119,0.3338482320179829,5.615969633110825,61,131,23,22,39,0.639344262295082,0.13137810415507528,3.5617641234691524,1.0,200,200,0,0,,,,,,,,,,
777,0,all,401,6636,117,117.0,103,0.256857855361596,272,0.6783042394014963,6623,0.3323941258310751,5.589191221404498,61,147,18,17,44,0.7213114754098361,0.12204338883957133,3.6646786538217935,1.0,200,200,0,0,,,,,,,,,,
1082,0,all,401,4743,132,132.0,118,0.2942643391521197,257,0.6408977556109726,4730,0.2850335175665631,5.528435780766141,61,78,25,22,30,0.4918032786885246,0.019134798224261198,3.233052593416021,1.0,200,200,0,0,,,,,,,,,,
948,0,all,401,5404,126,126.0,112,0.2793017456359102,263,0.655860349127182,5391,0.321806178972173,5.553367070827024,61,111,25,23,36,0.5901639344262295,0.07561142432685813,3.46521886971451,1.0,200,200,0,0,,,,,,,,,,
666,0,all,401,7446,109,109.0,96,0.23940149625935161,281,0.7007481296758105,7434,0.3443363198228788,5.623683757479158,61,154,18,17,44,0.7213114754098361,0.1346929381862466,3.667157868318157,1.0,200,200,0,0,,,,,,,,,,
884,0,all,401,5779,121,121.0,104,0.2593516209476309,265,0.6608478802992519,5763,0.32172064862150007,5.561938990998211,61,133,23,21,36,0.5901639344262295,0.14352452168666371,3.478359401121261,1.0,200,200,0,0,,,,,,,,,,
628,0,all,401,8033,106,106.0,94,0.2344139650872818,285,0.7107231920199502,8022,0.3442205652040713,5.638706046735225,61,139,19,17,40,0.6557377049180327,0.13540212700241697,3.5759973632310573,1.0,200,200,0,0,,,,,,,,,,
1398,0,all,401,3666,151,151.0,139,0.34663341645885287,240,0.5985037406483791,3655,0.286600836720153,5.456681725983991,61,66,26,23,31,0.5081967213114754,0.02078382799884572,3.2560187654354236,1.0,200,200,0,0,,,,,,,,,,
