twin_center,control_center,twin_gap,control_gap,twin_entropy,control_entropy,twin_edges,control_edges,twin_gc_fraction,control_gc_fraction,twin_K0,twin_K_used,twin_K_bumps,twin_hit_kmax,control_K0,control_K_used,control_K_bumps,control_hit_kmax,delta_K_used,delta_logK,delta_edges,delta_gc_fraction,d,strict_pass
82038,82194,0.19604355854258407,0.42264973081037416,1.4520821133100175,1.2612028625715657,11,12,0.09836065573770492,0.08196721311475409,373,4253,6,0,373,4253,6,0,0,0.0,-1,0.016393442622950824,26,0
82038,81462,0.19604355854258407,0.771286446121831,1.4520821133100175,1.047755105464942,11,11,0.09836065573770492,0.06557377049180328,373,4253,6,0,372,4239,6,0,14,0.0032972239009971815,0,0.032786885245901634,-96,1
7212,6990,0.12222142156078145,0.07121043597503961,2.0520155115640524,2.3094980467873794,30,34,0.16393442622950818,0.21311475409836064,111,566,4,0,109,554,4,0,12,0.02142939145589917,-4,-0.04918032786885246,-37,0
7212,6822,0.12222142156078145,0.2616557116107464,2.0520155115640524,2.3842445270901456,30,32,0.16393442622950818,0.21311475409836064,111,566,4,0,108,548,4,0,18,0.032318791255167234,-2,-0.04918032786885246,-65,1
184968,185088,1.0,0.42264973081037427,0.6365141682948128,1.261202862571566,6,6,0.04918032786885246,0.08196721311475409,560,6380,6,0,560,6380,6,0,0,0.0,0,-0.032786885245901634,20,0
184968,183864,1.0,1.0,0.6365141682948128,0.6365141682948128,6,6,0.04918032786885246,0.04918032786885246,560,6380,6,0,558,6359,6,0,21,0.0032969650714278487,0,0.0,-184,1
23670,23592,0.09903113209758077,0.07033604896230386,2.1356500232358346,2.4505367079833844,21,23,0.18032786885245902,0.2459016393442623,201,1530,5,0,200,1520,5,0,10,0.006557400546158831,-2,-0.06557377049180327,-13,0
23670,24234,0.09903113209758077,0.1559047381325893,2.1356500232358346,2.4254930194283966,21,23,0.18032786885245902,0.22950819672131148,201,1530,5,0,203,1547,5,0,-17,-0.011049836186584727,-2,-0.04918032786885246,94,1
6198,5946,0.16355741703753668,0.11079114873209897,2.3629683427386388,2.7199861177867373,34,33,0.21311475409836064,0.3114754098360656,103,525,4,0,101,513,4,0,12,0.02312241742085419,1,-0.09836065573770494,-42,0
6198,5964,0.16355741703753668,0.1870710423011032,2.3629683427386388,2.35862441008214,34,32,0.21311475409836064,0.21311475409836064,103,525,4,0,101,513,4,0,12,0.02312241742085419,2,0.0,-39,1
27942,28026,0.14579555176880946,0.19225990270971594,2.05175131464944,1.9382052196932118,22,24,0.16393442622950818,0.14754098360655737,218,1659,5,0,218,2489,6,0,-830,-0.40566601217714826,-2,0.01639344262295081,14,0
27942,27366,0.14579555176880946,0.18289844307542985,2.05175131464944,2.0567206874283475,22,21,0.16393442622950818,0.16393442622950818,218,1659,5,0,216,1641,5,0,18,0.010909199100352929,1,0.0,-96,1
