center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
147972,0,six,,,,,,,,,,,,61,2,59,57,2,0.03278688524590164,2.0,-0.0,1.0,501,5711,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
91986,0,six,,,,,,,,,,,,61,8,53,48,3,0.04918032786885246,1.0,0.6365141682948128,1.0,395,4508,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
130230,0,six,,,,,,,,,,,,61,7,54,48,3,0.04918032786885246,1.0,0.6365141682948128,1.0,470,5358,6,0,1.0,1.0,0.0,1.0,1,0,0,1,0.0,1.0
16338,0,six,,,,,,,,,,,,61,29,40,33,10,0.16393442622950818,0.2758356129301243,2.072529922389282,1.0,167,1274,5,0,1.0,2.0,2.0,0.0,0,1,1,0,2.0,0.0
91860,0,six,,,,,,,,,,,,61,9,53,47,4,0.06557377049180328,0.7712864461218307,1.047755105464942,1.0,395,4508,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
47622,0,six,,,,,,,,,,,,61,19,46,40,6,0.09836065573770492,0.6240393134633431,1.5602243727604543,1.0,284,3239,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
196818,0,six,,,,,,,,,,,,61,7,54,49,3,0.04918032786885246,1.0,0.6365141682948128,1.0,577,6579,6,0,1.0,1.0,0.0,1.0,1,0,0,0,0.0,1.0
85596,0,six,,,,,,,,,,,,61,12,49,41,4,0.06557377049180328,0.4999999999999998,0.9743147528693494,1.0,381,4346,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
73584,0,six,,,,,,,,,,,,61,18,45,41,11,0.18032786885245902,0.07911528425326997,2.121064149405872,1.0,353,4028,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
101856,0,six,,,,,,,,,,,,61,6,55,51,4,0.06557377049180328,1.0,1.0397207708399179,1.0,415,4737,6,0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0
