center,is_twin_center,center_set,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,core_gc_zero_count_all,K0,K_used,k_bumps,hit_kmax,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,twin_edges_inc_minus1,twin_edges_inc_plus1
579,0,all,401,8488,101,101.0,88,0.2194513715710723,289,0.7206982543640897,8476,0.340279920487623,5.653347403013532,61,201,16,15,46,0.7540983606557377,0.14558520347168658,3.7443955855575353,1.0,200,200,0,0,,,,,,,,,,
695,0,all,401,7252,110,110.0,97,0.24189526184538654,280,0.6982543640897756,7240,0.31181538437912637,5.620597363532245,61,149,21,20,41,0.6721311475409836,0.13440105514220152,3.6188603969140614,1.0,200,200,0,0,,,,,,,,,,
1360,0,all,401,3830,148,148.0,137,0.341645885286783,244,0.6084788029925187,3820,0.2736304005693593,5.473789050992081,61,80,26,24,34,0.5573770491803278,0.07891234331249869,3.369427198078597,1.0,200,200,0,0,,,,,,,,,,
851,0,all,401,6111,122,122.0,108,0.26932668329177056,267,0.6658354114713217,6098,0.2848572428479153,5.571082288369516,61,100,25,23,36,0.5901639344262295,0.09538016721744695,3.4387993079879378,1.0,200,200,0,0,,,,,,,,,,
830,0,all,401,6328,119,119.0,105,0.26184538653366585,270,0.6733167082294265,6315,0.2937047656555878,5.582488002024132,61,117,23,21,38,0.6229508196721312,0.061034707448264544,3.5092008326516466,1.0,200,200,0,0,,,,,,,,,,
524,0,all,401,9254,90,90.0,74,0.18453865336658354,297,0.7406483790523691,9239,0.3454220666492867,5.681818539013772,61,214,16,15,46,0.7540983606557377,0.25356747302059257,3.749503756335404,1.0,200,200,0,0,,,,,,,,,,
971,0,all,401,5197,126,126.0,111,0.27680798004987534,262,0.6533665835411472,5183,0.28402843764159297,5.549797485980957,61,116,23,20,37,0.6065573770491803,0.1190149005420934,3.4934870924997816,1.0,200,200,0,0,,,,,,,,,,
849,0,all,401,6109,121,121.0,107,0.26683291770573564,268,0.6683291770573566,6096,0.2884975775307124,5.574720429402264,61,110,25,23,36,0.5901639344262295,0.13601597364124982,3.448253377355382,1.0,200,200,0,0,,,,,,,,,,
527,0,all,401,9193,91,91.0,75,0.18703241895261846,296,0.7381546134663342,9178,0.34462692937040657,5.678433976160955,61,217,17,16,45,0.7377049180327869,0.19819879752148106,3.7233214214877948,1.0,200,200,0,0,,,,,,,,,,
1025,0,all,401,4943,130,130.0,116,0.2892768079800499,259,0.6458852867830424,4930,0.2742508024723065,5.538006941320665,61,74,28,25,30,0.4918032786885246,0.04189197668629203,3.2482006477087224,1.0,200,200,0,0,,,,,,,,,,
1210,0,all,401,4428,140,140.0,124,0.3092269326683292,247,0.6159600997506235,4413,0.2679777831351193,5.488589777916501,61,73,27,24,33,0.5409836065573771,0.09093404195565315,3.328616746894644,1.0,200,200,0,0,,,,,,,,,,
1265,0,all,401,4155,140,140.0,124,0.3092269326683292,247,0.6159600997506235,4140,0.27442254159707385,5.4876138095565095,61,83,27,25,34,0.5573770491803278,0.0667734683130064,3.368928364548412,1.0,200,200,0,0,,,,,,,,,,
927,0,all,401,5491,128,128.0,116,0.2892768079800499,263,0.655860349127182,5480,0.28890533237136595,5.554763616458949,61,125,22,21,40,0.6557377049180327,0.06096978201233083,3.5696767166289547,1.0,200,200,0,0,,,,,,,,,,
503,0,all,401,9649,88,88.0,73,0.18204488778054864,300,0.7481296758104738,9635,0.33647821181953785,5.692272309835331,61,216,17,16,45,0.7377049180327869,0.23403593886420523,3.7309552280578298,1.0,200,200,0,0,,,,,,,,,,
506,0,all,401,9587,88,88.0,72,0.17955112219451372,299,0.7456359102244389,9572,0.3407062880377607,5.688912325433893,61,219,17,16,45,0.7377049180327869,0.21401196085736546,3.730864668204934,1.0,200,200,0,0,,,,,,,,,,
1182,0,all,401,4469,141,141.0,128,0.3192019950124688,249,0.6209476309226932,4457,0.26404627872170977,5.49626733605656,61,81,27,22,26,0.4262295081967213,0.14019664327954223,3.131685912581757,1.0,200,200,0,0,,,,,,,,,,
1394,0,all,401,3662,150,150.0,137,0.341645885286783,240,0.5985037406483791,3650,0.2587333530581781,5.457424275246239,61,71,27,24,31,0.5081967213114754,0.07176240465047458,3.2816688284734754,1.0,200,200,0,0,,,,,,,,,,
668,0,all,401,7506,108,108.0,95,0.23690773067331672,282,0.7032418952618454,7494,0.3145837473951375,5.628148608344542,61,147,19,18,43,0.7049180327868853,0.12439909585717934,3.6460075283364195,1.0,200,200,0,0,,,,,,,,,,
1292,0,all,401,4045,145,145.0,130,0.32418952618453867,243,0.6059850374064838,4031,0.27348323404365726,5.471330183598189,61,74,30,27,30,0.4918032786885246,0.11147899068499292,3.2397134974433426,1.0,200,200,0,0,,,,,,,,,,
1097,0,all,401,4686,136,136.0,122,0.30423940149625933,253,0.6309226932668329,4673,0.27398053156431107,5.513651534377628,61,79,24,22,35,0.5737704918032787,0.04942298671586606,3.386248380930141,1.0,200,200,0,0,,,,,,,,,,
684,0,all,401,7262,111,111.0,99,0.24688279301745636,280,0.6982543640897756,7251,0.3128587739294947,5.620680900277359,61,149,19,18,43,0.7049180327868853,0.174084461229057,3.648970221570738,1.0,200,200,0,0,,,,,,,,,,
