center,is_twin_center,n_nodes,n_edges,n_components,zero_count_all,isolated_nodes,isolated_fraction,gc_size,gc_fraction,gc_edges,gc_spectral_gap,gc_entropy,core_nodes,core_edges,core_components,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy
524,0,401,9254,90,90.0,74,0.18453865336658354,297,0.7406483790523691,9239,0.34542206664928665,5.681818539013772,41,95,11,31,0.7560975609756098,0.17481066861135286,3.3169933174127255
971,0,401,5197,126,126.0,111,0.27680798004987534,262,0.6533665835411472,5183,0.2840284376415946,5.5497974859809585,41,53,16,26,0.6341463414634146,0.01623138750470526,3.0828181764560214
849,0,401,6109,121,121.0,107,0.26683291770573564,268,0.6683291770573566,6096,0.28849757753071387,5.574720429402264,41,42,21,20,0.4878048780487805,0.06756333591639463,2.819009621215977
527,0,401,9193,91,91.0,75,0.18703241895261846,296,0.7381546134663342,9178,0.344626929370406,5.678433976160956,41,98,13,28,0.6829268292682927,0.23316592807002415,3.2295540174205017
1025,0,401,4943,130,130.0,116,0.2892768079800499,259,0.6458852867830424,4930,0.2742508024723052,5.538006941320663,41,34,21,16,0.3902439024390244,0.04725251861240963,2.566106349530195
1210,0,401,4428,140,140.0,124,0.3092269326683292,247,0.6159600997506235,4413,0.26797778313511794,5.488589777916501,41,29,24,13,0.3170731707317073,0.2553164697456164,2.3902078267715563
1265,0,401,4155,140,140.0,124,0.3092269326683292,247,0.6159600997506235,4140,0.27442254159707274,5.4876138095565095,41,23,27,7,0.17073170731707318,0.4017576378499772,1.734270448364637
927,0,401,5491,128,128.0,116,0.2892768079800499,263,0.655860349127182,5480,0.2889053323713663,5.554763616458949,41,49,21,19,0.4634146341463415,0.20271355593892745,2.811768535883548
503,0,401,9649,88,88.0,73,0.18204488778054864,300,0.7481296758104738,9635,0.336478211819535,5.692272309835332,41,90,13,29,0.7073170731707317,0.1472391803334548,3.243034890836158
506,0,401,9587,88,88.0,72,0.17955112219451372,299,0.7456359102244389,9572,0.34070628803775815,5.688912325433893,41,83,14,28,0.6829268292682927,0.14063957709393096,3.2000489478484377
1182,0,401,4469,141,141.0,128,0.3192019950124688,249,0.6209476309226932,4457,0.26404627872170994,5.49626733605656,41,28,25,10,0.24390243902439024,0.391958022983006,2.120499431453332
1394,0,401,3662,150,150.0,137,0.341645885286783,240,0.5985037406483791,3650,0.2587333530581784,5.457424275246239,41,27,23,11,0.2682926829268293,0.2884042797042577,2.205879567758144
668,0,401,7506,108,108.0,95,0.23690773067331672,282,0.7032418952618454,7494,0.31458374739513756,5.628148608344542,41,54,16,24,0.5853658536585366,0.11497921513925424,3.0028730316647407
1292,0,401,4045,145,145.0,130,0.32418952618453867,243,0.6059850374064838,4031,0.2734832340436578,5.471330183598187,41,36,22,18,0.43902439024390244,0.1420494175680364,2.7121064997141184
1097,0,401,4686,136,136.0,122,0.30423940149625933,253,0.6309226932668329,4673,0.2739805315643096,5.513651534377628,41,29,22,11,0.2682926829268293,0.12068956512426483,2.1688116937579345
684,0,401,7262,111,111.0,99,0.24688279301745636,280,0.6982543640897756,7251,0.3128587739294936,5.620680900277359,41,58,15,27,0.6585365853658537,0.0889277890626843,3.134047293064386
794,0,401,6709,117,117.0,104,0.2593516209476309,273,0.6807980049875312,6697,0.29450353357867187,5.5940952132273605,41,52,12,30,0.7317073170731707,0.03027705600932105,3.211267082129104
602,0,401,8380,103,103.0,92,0.22942643391521197,289,0.7206982543640897,8370,0.3269126790363208,5.653841324366258,41,67,13,29,0.7073170731707317,0.11358935417932765,3.2105293669990655
1171,0,401,4470,141,141.0,129,0.32169576059850374,250,0.6234413965087282,4459,0.2616559688494931,5.500097385043414,41,28,23,15,0.36585365853658536,0.10196552791133656,2.5167911516638473
926,0,401,5493,128,128.0,116,0.2892768079800499,263,0.655860349127182,5482,0.28890741655395774,5.554757018723517,41,51,20,20,0.4878048780487805,0.20135963831517384,2.8562575202805154
609,0,401,8214,104,104.0,92,0.22942643391521197,287,0.71571072319202,8203,0.32864633229569346,5.646725980471565,41,58,13,28,0.6829268292682927,0.08378139608012193,3.1528014574143253
1409,0,401,3632,151,151.0,139,0.34663341645885287,240,0.5985037406483791,3621,0.2628931559382078,5.457435499962163,41,22,23,5,0.12195121951219512,0.4226497308103742,1.261202862571566
1200,0,401,4556,139,139.0,123,0.30673316708229426,248,0.6184538653366584,4541,0.2809766958029054,5.4928545671036195,41,26,25,11,0.2682926829268293,0.5321546831949466,2.2506771675430075
1094,0,401,4701,135,135.0,121,0.30174563591022446,254,0.6334164588528678,4688,0.26538309946148697,5.517606269990296,41,29,22,8,0.1951219512195122,0.2919092045819024,1.86509621183309
687,0,401,7221,112,112.0,100,0.24937655860349128,279,0.6957605985037406,7210,0.31556308555110435,5.6170710785462745,41,51,17,16,0.3902439024390244,0.13169817048321594,2.581622662778283
1257,0,401,4205,140,140.0,124,0.3092269326683292,247,0.6159600997506235,4190,0.27860022980668964,5.487799559144788,41,31,22,8,0.1951219512195122,0.2738985186275059,1.8217776998619155
886,0,401,5748,121,121.0,104,0.2593516209476309,265,0.6608478802992519,5732,0.28496798513679633,5.562812537525072,41,48,16,17,0.4146341463414634,0.029289971446532607,2.655969701392036
739,0,401,6926,113,113.0,98,0.24438902743142144,275,0.685785536159601,6912,0.315718243180097,5.602064213818252,41,50,16,25,0.6097560975609756,0.06939037338990597,3.0503664373207577
1039,0,401,4850,134,134.0,120,0.29925187032418954,255,0.6359102244389028,4837,0.2778880898645322,5.522316778903662,41,28,24,8,0.1951219512195122,0.14970106621969684,1.819308363872672
1113,0,401,4638,138,138.0,125,0.3117206982543641,252,0.628428927680798,4626,0.27786458156141997,5.5093795784615835,41,28,22,12,0.2926829268292683,0.08762625075641971,2.2144630644991583
1229,0,401,4366,139,139.0,123,0.30673316708229426,248,0.6184538653366584,4351,0.27893196565826117,5.49239870112085,41,29,22,9,0.21951219512195122,0.11074853673162935,1.9365743794642998
1347,0,401,3820,148,148.0,137,0.341645885286783,244,0.6084788029925187,3810,0.26235244335877467,5.47355722128057,41,30,23,9,0.21951219512195122,0.656478505310389,2.0456541742104033
838,0,401,6272,120,120.0,108,0.26932668329177056,271,0.6758104738154613,6261,0.2862449470546383,5.586039459959867,41,47,19,23,0.5609756097560976,0.10201450954702808,2.9608198578207596
