twin_center,control_center,twin_gap,control_gap,twin_entropy,control_entropy,twin_edges,control_edges
4218,4134,2.0,1.5,-0.0,0.6931471805599453,5,6
4230,4134,1.0,1.5,0.6365141682948128,0.6931471805599453,6,6
4242,3990,0.4999999999999998,1.0,0.9743147528693494,0.6365141682948128,8,8
4260,4098,1.0,1.5,1.0397207708399179,0.6931471805599453,9,9
4272,3984,0.2928932188134523,0.2928932188134523,1.4720659977752126,1.4720659977752124,10,10
4338,4086,1.0,1.0,0.6365141682948128,0.6365141682948128,7,7
4422,4188,1.5,0.5,0.6931471805599453,0.9743147528693494,12,12
4482,4206,1.0,1.0,0.6365141682948128,0.6365141682948128,10,10
4518,4644,1.0,2.0,0.6365141682948128,-0.0,5,5
4548,4254,1.5,1.0,0.6931471805599453,0.6365141682948128,8,8
4638,4764,1.0,2.0,0.6365141682948128,-0.0,4,4
4650,4440,2.0,1.5,-0.0,0.6931471805599453,7,7
4722,4434,0.5,1.5,0.9743147528693494,0.6931471805599453,6,6
4788,4560,0.5,1.5,0.9743147528693494,0.6931471805599453,8,8
4800,4506,1.0,0.19604355854258393,0.6365141682948128,1.4520821133100175,10,10
4932,4656,2.0,1.0,-0.0,0.6365141682948128,6,6
4968,4680,1.0,0.5657414540893354,0.6365141682948128,1.3022435533711254,9,9
5010,4908,1.0,1.0,0.6365141682948128,0.6365141682948128,8,8
5022,4764,1.0,2.0,0.6365141682948128,-0.0,4,4
5100,4848,1.0,1.0,0.6365141682948128,0.6365141682948128,6,6
5232,4956,2.0,0.2928932188134524,-0.0,1.2215183802660192,6,6
5280,4998,2.0,2.0,-0.0,-0.0,5,5
5418,5118,1.0,2.0,0.6365141682948128,-0.0,4,4
5442,5238,2.0,1.0,-0.0,0.6365141682948128,5,5
5478,5184,1.0,2.0,0.6365141682948128,-0.0,6,6
5502,5244,2.0,1.0,-0.0,0.6365141682948128,4,4
5520,5226,2.0,2.0,-0.0,-0.0,6,6
5640,5352,2.0,1.0,-0.0,0.6365141682948128,5,5
5652,5370,2.0,1.0,-0.0,0.6365141682948128,4,4
5658,5358,1.0,1.0,0.6365141682948128,0.6365141682948128,5,5
5742,5538,1.5,1.5,0.6931471805599453,0.6931471805599453,7,7
