t,center,is_twin,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,t_mod_13,is_forbidden_13,dist_to_forbid_13,t_mod_17,is_forbidden_17,dist_to_forbid_17,t_mod_19,is_forbidden_19,dist_to_forbid_19,layer_hits_L1,layer_hits_L2,layer_hits_L3,layer_allow_L1,layer_allow_L2,layer_allow_L3
155088,4299039360,0,0,61,61,1,0.01639344262295082,0.0,0.0,11,0,1,14,0,2,10,0,8,0,0,0,1,1,1
157943,4378179960,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,13,0,1,15,0,3,0,0,0,1,1,1
62405,1729866600,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,15,0,3,9,0,8,0,0,0,1,1,1
89685,2486068200,0,0,61,61,1,0.01639344262295082,0.0,0.0,11,0,1,10,0,2,5,0,4,0,0,0,1,1,1
189687,5258123640,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,1,0,4,10,0,8,0,0,0,1,1,1
136367,3780093240,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,10,0,2,4,0,3,1,1,1,0,0,0
169486,4698151920,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,13,0,1,6,0,5,0,0,0,1,1,1
96396,2672097120,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,6,0,1,9,0,8,0,0,0,1,1,1
117448,3255658560,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,12,1,0,9,0,8,0,1,1,1,0,0
192731,5342503320,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,2,0,3,14,0,4,0,0,0,1,1,1
98544,2731639680,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,12,1,0,10,0,8,0,1,1,1,0,0
136598,3786496560,0,0,61,61,1,0.01639344262295082,0.0,0.0,7,0,3,3,0,2,7,0,6,0,0,0,1,1,1
135134,3745914480,0,0,61,61,1,0.01639344262295082,0.0,0.0,12,0,2,1,0,4,6,0,5,0,0,0,1,1,1
15827,438724440,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,0,0,5,0,0,1,0,0,0,1,1,1
161971,4489836120,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,12,1,0,15,0,3,0,1,1,1,0,0
170143,4716363960,0,0,61,61,1,0.01639344262295082,0.0,0.0,12,0,2,7,0,2,17,0,1,0,0,0,1,1,1
177951,4932801720,0,0,61,61,1,0.01639344262295082,0.0,0.0,7,0,3,12,1,0,16,0,2,0,1,1,1,0,0
28265,783505800,0,0,61,61,1,0.01639344262295082,0.0,0.0,3,1,0,11,0,1,12,0,6,1,1,1,0,0,0
104977,2909962440,0,0,61,61,1,0.01639344262295082,0.0,0.0,2,0,1,2,0,3,2,0,1,0,0,0,1,1,1
153230,4247535600,0,0,61,61,1,0.01639344262295082,0.0,0.0,12,0,2,9,0,3,14,0,4,0,0,0,1,1,1
39027,1081828440,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,12,1,0,1,1,0,0,1,1,1,0,0
147121,4078194120,0,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,3,0,2,4,0,3,0,0,0,1,1,1
80788,2239443360,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,4,0,1,0,0,1,0,0,0,1,1,1
136515,3784195800,0,0,61,61,1,0.01639344262295082,0.0,0.0,2,0,1,5,1,0,0,0,1,0,1,1,1,0,0
19233,533138760,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,6,0,1,5,0,4,0,0,0,1,1,1
76016,2107163520,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,9,0,3,16,0,2,0,0,0,1,1,1
79631,2207371320,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,3,0,2,2,0,1,0,0,0,1,1,1
32857,910796040,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,13,0,1,6,0,5,0,0,0,1,1,1
34622,959721840,0,0,61,61,1,0.01639344262295082,0.0,0.0,3,1,0,10,0,2,4,0,3,1,1,1,0,0,0
49339,1367677080,0,0,61,61,1,0.01639344262295082,0.0,0.0,4,0,1,5,1,0,15,0,3,0,1,1,1,0,0
136566,3785609520,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,5,1,0,13,0,5,0,1,1,1,0,0
99009,2744529480,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,1,0,4,0,0,1,0,0,0,1,1,1
40211,1114648920,0,0,61,61,1,0.01639344262295082,0.0,0.0,2,0,1,6,0,1,7,0,6,0,0,0,1,1,1
185923,5153785560,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,11,0,1,8,0,7,1,1,1,0,0,0
173381,4806121320,0,0,61,61,1,0.01639344262295082,0.0,0.0,0,0,3,15,0,3,6,0,5,0,0,0,1,1,1
100094,2774605680,0,0,61,61,1,0.01639344262295082,0.0,0.0,7,0,3,15,0,3,2,0,1,0,0,0,1,1,1
194342,5387160240,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,15,0,3,10,0,8,0,0,0,1,1,1
19157,531032040,0,0,61,61,1,0.01639344262295082,0.0,0.0,8,0,2,15,0,3,5,0,4,0,0,0,1,1,1
174147,4827354840,0,0,61,61,1,0.01639344262295082,0.0,0.0,12,0,2,16,0,4,12,0,6,0,0,0,1,1,1
183327,5081824440,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,16,0,4,15,0,3,0,0,0,1,1,1
59649,1653470280,0,0,61,61,1,0.01639344262295082,0.0,0.0,5,0,2,13,0,1,8,0,7,0,0,0,1,1,1
98717,2736435240,0,0,61,61,1,0.01639344262295082,0.0,0.0,8,0,2,15,0,3,12,0,6,0,0,0,1,1,1
21629,599555880,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,5,1,0,7,0,6,1,1,1,0,0,0
121023,3354757560,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,0,0,5,12,0,6,0,0,0,1,1,1
30886,856159920,0,0,61,61,1,0.01639344262295082,0.0,0.0,11,0,1,14,0,2,11,0,7,0,0,0,1,1,1
183843,5096127960,0,0,61,61,1,0.01639344262295082,0.0,0.0,10,1,0,5,1,0,18,1,0,1,1,1,0,0,0
180472,5002683840,0,0,61,61,1,0.01639344262295082,0.0,0.0,6,0,3,0,0,5,10,0,8,0,0,0,1,1,1
119458,3311375760,0,0,61,61,1,0.01639344262295082,0.0,0.0,1,0,2,16,0,4,5,0,4,0,0,0,1,1,1
15356,425668320,0,0,61,61,1,0.01639344262295082,0.0,0.0,3,1,0,5,1,0,4,0,3,1,1,1,0,0,0
194847,5401158840,0,0,61,61,1,0.01639344262295082,0.0,0.0,3,1,0,10,0,2,2,0,1,1,1,1,0,0,0
