p,killed_Q0,ap_count_delta_1000000,ap_harm_delta_1000000,ap_count_delta_2000000,ap_harm_delta_2000000,ap_count_delta_5000000,ap_harm_delta_5000000,ap_count_delta_10000000,ap_harm_delta_10000000,ap_count_delta_20000000,ap_harm_delta_20000000,ap_count_delta_50000000,ap_harm_delta_50000000,survive_1000000,survive_2000000,survive_5000000,survive_10000000,survive_20000000,survive_50000000
367,1,92,0.09413802201897113,181,0.11666828947686331,445,0.14650346962687877,892,0.1691792394914351,1719,0.1904041200515364,4081,0.21695158662305009,0,0,0,0,0,0
373,0,102,0.09799183488983809,201,0.12354232180514686,475,0.1548580866634316,903,0.17704395244650753,1709,0.19784714592532027,4016,0.2243881094869984,1,1,1,1,1,0
379,0,86,0.08414904967146926,172,0.10660468623211491,435,0.13637581657297027,876,0.15964648524129288,1666,0.18045304946335458,3966,0.20702628311216695,1,1,1,1,1,1
383,0,80,0.08269806028704928,168,0.10557873213040671,426,0.13597263697764755,848,0.15861427930708977,1635,0.17941917741089955,3935,0.20627448714362961,1,0,0,0,0,0
389,0,94,0.09622057742933217,183,0.12041633965911373,422,0.1485122425033501,829,0.17057983625098772,1601,0.1915410772267624,3817,0.21799951179730753,1,1,1,1,1,1
397,1,85,0.0776245724178485,178,0.10280574087486764,438,0.1336378943234396,844,0.1561536459657834,1620,0.1776016408080119,3837,0.20456466121311292,0,0,0,0,0,0
401,0,79,0.08503759915213421,164,0.10883923728910862,421,0.1404490618922205,795,0.16131290208984417,1524,0.18158811559502222,3648,0.20758001674970455,1,1,1,1,1,1
409,0,91,0.10046371569779275,172,0.12298408064913313,405,0.15192821229466705,780,0.1733542192009443,1519,0.19453227337823795,3687,0.2217680317473709,1,1,1,1,1,1
419,1,81,0.09377853665866227,173,0.12108042203267566,397,0.14995387643608657,776,0.17201436271787643,1503,0.19309979915257902,3520,0.2189428625897027,0,0,0,0,0,0
421,0,84,0.09776603210096693,169,0.12198030680661294,417,0.15451642527637593,794,0.1766632817101362,1505,0.19741742205636267,3545,0.22365675681135755,1,1,1,1,1,1
431,1,80,0.09175875815689336,160,0.11585962164857691,394,0.14645639448573383,751,0.16783635035947972,1446,0.1886147134190174,3440,0.21493104833624121,0,0,0,0,0,0
433,0,79,0.08812009910922064,158,0.11247744896558418,391,0.14298275365820703,754,0.16478370274588797,1453,0.18578071118527165,3447,0.21239269648824094,1,1,1,1,1,1
439,0,72,0.07952727716165796,152,0.10392825048758499,369,0.13340535981522655,740,0.15626446296844038,1427,0.17718569097521222,3374,0.20336474655465356,1,1,1,1,1,1
443,1,79,0.10038181763446968,156,0.12396287422660318,375,0.15363575676014135,743,0.17647790062403781,1399,0.19655975256685307,3366,0.2231471516016598,0,0,0,0,0,0
449,0,73,0.08298236342233051,155,0.10839695527793722,369,0.13772002357074856,728,0.16003588853759818,1418,0.18168894983595657,3342,0.2081973992493819,1,0,0,0,0,0
457,0,77,0.09214027706015299,149,0.1149121843850888,363,0.14483169571144677,710,0.16660319316000993,1377,0.18757033413623797,3286,0.2143544972345642,1,1,1,1,1,1
461,1,81,0.10906043192522909,153,0.13270174313698674,374,0.1636608900765745,723,0.18593570219684924,1367,0.2066034086915767,3264,0.2333415699171842,0,0,0,0,0,0
463,1,82,0.10761628936617576,162,0.1335788283342533,391,0.16620676298151613,710,0.18671052015125864,1401,0.20889634085183761,3261,0.23527547793139797,0,0,0,0,0,0
467,0,81,0.10582402063475081,165,0.13348415939947705,388,0.16450175475301732,733,0.18687612853005375,1389,0.20797761329166403,3211,0.23402730274221092,1,1,1,1,1,1
479,0,65,0.08506378982048166,152,0.11422938206535174,368,0.14597887509690527,688,0.16698840541333554,1298,0.187399022310874,3123,0.21425908335893973,1,1,1,1,1,0
487,1,75,0.10163061325928488,147,0.12581678957579034,347,0.1545427143091389,671,0.17634034014822414,1283,0.1968970220822176,3035,0.22296263246148107,0,0,0,0,0,0
491,1,60,0.07283488850525088,135,0.09778332765729016,342,0.1295418052466532,665,0.1516981111128451,1298,0.1733571520969403,3089,0.20039811524536547,0,0,0,0,0,0
499,1,75,0.09347173808179256,154,0.1202315718336288,350,0.14927478048242607,675,0.17166351637191474,1285,0.19263925052000566,2978,0.21883491579499734,0,0,0,0,0,0
503,0,63,0.08385278748801556,137,0.1097201294288866,344,0.14152431716010958,663,0.16348417799750173,1273,0.18506414029282506,2971,0.21118398916257083,1,1,1,1,1,1
509,0,71,0.09743202618851103,145,0.12386910067315127,348,0.1562692072523981,669,0.1791422382682156,1272,0.20050643244277208,2975,0.22695277870281957,1,1,1,1,0,0
521,0,63,0.08289292250181299,129,0.10645992484568759,312,0.1359878326563485,629,0.15893853538838604,1214,0.18002308947311163,2836,0.20591981047714736,1,1,1,1,1,1
523,0,71,0.08943922474032237,142,0.1154896444825773,333,0.1455737382333229,640,0.16783625146554396,1225,0.18912892261872166,2872,0.2158223061679105,1,1,1,1,1,1
541,0,68,0.10080565738459438,137,0.12605455373098537,322,0.15671247246098793,610,0.17850406308286973,1191,0.20037680293441823,2783,0.2268814164055273,1,1,1,1,1,1
547,1,52,0.07431889519982837,110,0.0963894466907523,304,0.12919127626291455,596,0.15177438691495124,1151,0.17282425839554774,2741,0.19915934165538063,0,0,0,0,0,0
557,1,60,0.0803258153329948,120,0.10393628713879359,287,0.13236613050907103,579,0.15519121042373069,1127,0.17641779456989545,2677,0.20289727027187437,0,0,0,0,0,0
563,0,58,0.0944680600909717,119,0.11802700764453017,312,0.1517617469709751,585,0.1732429313721077,1105,0.19368649221542747,2644,0.22032483706411576,1,1,1,1,1,1
569,0,56,0.08067331562245192,117,0.10507182083343791,284,0.13386216920960178,559,0.15572308926757342,1102,0.17709430261208106,2633,0.20374932213697458,1,1,1,1,0,0
571,1,66,0.090411116668221,135,0.11758235942468238,299,0.14647238603427762,601,0.1701447497032021,1122,0.1906768656669293,2629,0.2170037220569678,0,0,0,0,0,0
577,1,58,0.08670176668965189,121,0.11316822654555966,295,0.1437624153849392,546,0.16374478829356656,1080,0.18505443222291176,2557,0.21118513988054033,0,0,0,0,0,0
587,0,50,0.07393911798078794,107,0.09784183529119721,284,0.13043161106233156,561,0.15268942892070045,1068,0.17347576452310912,2522,0.1997967472065919,0,0,0,0,0,0
593,0,57,0.09369531843713665,108,0.1150895191034108,288,0.14847984165262734,553,0.17034867382548138,1072,0.19144560425313734,2547,0.21821690906343397,0,0,0,0,0,0
599,0,52,0.08200374000388723,105,0.1044213842916102,296,0.13976637296044384,552,0.16119643366859107,1056,0.1824938899535076,2513,0.20918186903906263,1,1,1,1,1,1
601,1,61,0.08574347274651516,115,0.10859396326147375,273,0.13746384374851767,539,0.159854639087999,1047,0.18099524121794996,2505,0.2078701505545705,0,0,0,0,0,0
607,0,58,0.09314218703266909,113,0.1169935525967356,279,0.1478676823402665,537,0.16981977417239336,1024,0.1904539087165131,2444,0.21679455445969428,1,1,1,1,1,1
613,0,53,0.09176103615129401,108,0.11500266272818742,268,0.1448215522614571,533,0.16726325117451507,1014,0.18782044855303676,2429,0.21451277936596427,1,1,1,1,1,1
617,1,53,0.09602525862609823,106,0.11924094071394176,270,0.14990996051729855,514,0.1708692059080913,1013,0.19206484376553792,2400,0.21825226849342008,0,0,0,0,0,0
619,0,54,0.09255116514932377,112,0.11760628958190031,270,0.14813889061428537,517,0.16947245742990039,1017,0.1909587669118832,2414,0.21729687164073863,0,0,0,0,0,0
631,0,57,0.09099641864352442,117,0.11693811439767916,274,0.14734053661952767,546,0.170898742218336,1043,0.1924761027535013,2392,0.21844040169267426,1,1,1,1,1,1
641,1,56,0.0936245583621286,108,0.11630833513743485,265,0.14749620183047554,508,0.16912109137268935,967,0.18966502888127712,2311,0.21643413255298602,0,0,0,0,0,0
643,0,53,0.09617499361071885,105,0.12031653200920213,266,0.1516980222205224,516,0.1743665041030267,985,0.19539721758024597,2351,0.22226285866195422,1,1,0,0,0,0
647,0,48,0.07455508323037133,98,0.09731875258456828,266,0.13091826091169548,509,0.1522235145221908,997,0.1741224991263283,2271,0.19933605584938732,1,1,1,1,1,1
653,0,60,0.09567386924869375,117,0.12160604304048374,259,0.14909886758398008,503,0.1713054446261929,967,0.1920368106965271,2270,0.21827167309884113,1,1,1,1,1,1
659,1,55,0.097313493604687,112,0.12334957599697914,258,0.1534374370620924,485,0.17426567685751135,946,0.19543475567751703,2284,0.222443530006178,0,0,0,0,0,0
661,0,53,0.1021701742706112,103,0.12586195748298198,251,0.15590219251029197,503,0.17865078629063394,965,0.19979950745886785,2266,0.2262907547057951,1,1,1,1,1,1
673,0,49,0.08605670312316237,98,0.10871176273225937,243,0.13800698592031893,474,0.15936164917063794,940,0.18125525840768272,2240,0.2082062105493291,1,1,1,1,1,1
677,0,46,0.06835255299672471,97,0.09135850082136726,239,0.120878072758021,497,0.14528196398420173,931,0.16584113469595038,2234,0.19301387909695542,1,1,1,1,1,1
683,1,53,0.0926201131290864,108,0.11858076739548813,252,0.14938089393872866,499,0.173076118634284,935,0.19384095355982583,2181,0.21980048900176738,0,0,0,0,0,0
691,0,49,0.08725785730596652,96,0.10951811229829866,251,0.14198326456080596,477,0.16394948885252808,914,0.18479940832076738,2171,0.2115301622153768,1,1,1,1,1,1
701,0,40,0.08319285394648354,94,0.10966810944718541,226,0.13881688625203437,461,0.16190773626291888,900,0.18341406255096013,2135,0.21001857646153962,0,0,0,0,0,0
709,0,46,0.07221698699196205,98,0.09821820564383882,221,0.1249847666255465,458,0.1484150837333611,872,0.16870704593992694,2114,0.1957883167127191,1,1,1,1,1,1
719,1,60,0.1090744558455984,115,0.13737552937919648,257,0.16871187740177665,481,0.1910757491727114,908,0.21236123291106998,2128,0.2393438732972116,0,0,0,0,0,0
727,0,48,0.08962052125092153,100,0.11565918692560906,243,0.14840316557355682,471,0.17141481118487942,863,0.1912187066559888,2074,0.21827677073003662,1,1,1,1,1,1
733,0,51,0.10605992941885363,98,0.1302537653172838,233,0.16068965875279373,442,0.182097482996999,867,0.20374524445353417,2032,0.22983014628204593,1,1,1,1,1,1
739,0,44,0.08627370387877865,91,0.11006279948515615,237,0.14359451809516438,448,0.16518187527598796,868,0.1868827156952241,2045,0.21372755048210332,1,1,1,1,1,1
743,1,44,0.08495542067506802,89,0.10799065959906279,225,0.13937766562955617,438,0.1613294720167608,838,0.18214090474029598,2005,0.2088181900600383,0,0,0,0,0,0
751,0,51,0.08259969822837318,98,0.10680925317006604,235,0.13916263248166505,449,0.16128857810294495,841,0.18145837831750053,1992,0.20778099171448375,1,1,1,1,1,1
757,0,44,0.08447807888897366,89,0.10838008558097201,226,0.13931890421108806,446,0.16245844896484424,827,0.18266010784614975,1945,0.20885159224877217,1,1,1,0,0,0
761,1,47,0.0968503893263927,88,0.1192458124815969,228,0.15159425371635796,435,0.17350197075945809,839,0.19496221326739166,1971,0.22166100171952083,0,0,0,0,0,0
769,0,38,0.07937749963700697,86,0.10463123748116374,213,0.1339141516164265,412,0.15514198377827268,782,0.1749564425122961,1908,0.20161019887748705,1,1,1,1,1,1
773,0,46,0.09222542333510157,84,0.11418561459079042,218,0.1464447112069104,407,0.16675092191446772,798,0.18772366932614243,1906,0.2137734925489433,1,1,1,0,0,0
787,0,44,0.09558303328998302,89,0.12082083206819941,224,0.15365539909295817,416,0.1744372129465252,807,0.19549683968863382,1912,0.22215604081636459,1,1,1,1,1,1
797,0,41,0.0961305326587657,96,0.12598248206201557,226,0.15848250839382894,413,0.17906278250651933,792,0.2002340085262943,1833,0.2256011291211875,1,1,1,1,1,1
809,0,39,0.0860836800535213,82,0.11052352568757559,216,0.14353616665471028,399,0.16360094734995762,754,0.18374796141514196,1824,0.21031952259149667,1,1,1,1,1,1
811,0,45,0.08647735860397163,85,0.10910043473530105,208,0.1392432650549946,402,0.16094442279518362,766,0.18166224920928928,1840,0.20847622433091412,0,0,0,0,0,0
821,0,44,0.10135379062918251,89,0.12721148324483506,217,0.15937710161722007,404,0.18040185515807816,781,0.20182256077886576,1812,0.22748942666101715,1,1,1,1,1,1
823,0,40,0.0892959865705948,87,0.1162561811376436,198,0.14551820298209034,386,0.16699365096606308,759,0.18844022007041444,1835,0.21549028735956685,1,1,1,1,1,1
827,1,41,0.08806164043692266,82,0.11177449869688354,191,0.1396555057561317,373,0.1606071263550869,733,0.1814212045081793,1761,0.20796165035847736,0,0,0,0,0,0
829,1,37,0.08622461668156595,78,0.10875523457414774,190,0.1375739853312047,373,0.1588092490355704,726,0.1792870067535406,1779,0.2058644598244136,0,0,0,0,0,0
839,1,45,0.1070402176249131,84,0.13041294132977962,198,0.16072859922801788,397,0.1843744664796729,754,0.2052520519766425,1809,0.2324501812421848,0,0,0,0,0,0
853,0,36,0.08583743904126222,84,0.11393573767339134,205,0.14514979120273355,387,0.16688328017400958,733,0.1872319880383678,1720,0.21317586248867754,1,1,1,1,1,1
857,1,42,0.11191631002523991,78,0.13354678894065775,192,0.16312081429465133,372,0.18456884532810688,731,0.2059720469730748,1735,0.23202912495297207,0,0,0,0,0,0
859,0,45,0.09486426261218292,85,0.11855225839838039,201,0.1487322184901552,367,0.16859254323100695,728,0.19005632096857422,1742,0.21671374239674848,1,1,1,0,0,0
863,0,27,0.061579432865142,71,0.08825757487858647,192,0.12033021061751288,364,0.14090539280481884,715,0.16172287973636265,1699,0.18782159750803698,1,1,1,0,0,0
877,1,36,0.0929517455070095,77,0.11789193701232718,185,0.14681893949347793,366,0.1687226508830369,732,0.19100850717316817,1722,0.21752049806294818,0,0,0,0,0,0
881,1,42,0.09761489515281332,80,0.11995227759823394,192,0.15048526659343986,353,0.169993870463217,707,0.1913848084223127,1694,0.21807686650420027,0,0,0,0,0,0
883,1,36,0.0735706279223535,75,0.09752978105190845,179,0.12519945215860134,350,0.14610899695055804,685,0.16664409192944424,1663,0.1931789853781094,0,0,0,0,0,0
887,0,44,0.1156454449951833,79,0.13637654652354636,194,0.1685743987507001,365,0.18939930397241903,711,0.21109640027450682,1707,0.23812797920834608,1,1,1,1,0,0
907,0,40,0.10667508403762142,71,0.12618194779030503,179,0.15670557896136028,362,0.17952783355522878,704,0.2009377159950855,1640,0.22684818771302506,1,0,0,0,0,0
911,1,42,0.10591787986577746,81,0.13056687429527572,195,0.16207031404369432,369,0.1842700151227442,712,0.2059364079434159,1683,0.23292253171387603,0,0,0,0,0,0
919,0,43,0.10444856069724126,88,0.13424205072163845,204,0.16753478895716362,374,0.1893286777740152,697,0.21002133232605452,1621,0.23603688361375985,1,1,1,1,1,1
929,1,32,0.0843256525436552,78,0.1139952541827727,186,0.14529776650067872,357,0.1673962799966674,709,0.19022089619779708,1622,0.2163729263387273,0,0,0,0,0,0
937,1,43,0.10157308033726771,78,0.1249699982749445,187,0.15705529878364574,354,0.17860952738280345,672,0.19927086288190843,1586,0.22551897408947505,0,0,0,0,0,0
941,1,39,0.09808395409349069,77,0.12302169652061824,174,0.15071246470526256,337,0.17211210139483607,647,0.19210634005645855,1557,0.21852722466300256,0,0,0,0,0,0
947,0,35,0.08199479425238436,74,0.10816810358890966,178,0.13781106584883507,336,0.15908838452015076,655,0.18006418894684942,1552,0.20626411068751532,1,1,1,1,1,1
