p,method_rank_M18,killed_Q0,hazard,rank_M22,survive_Q1
39671,3678,0,0.0,124,1
39709,3681,0,0.0,125,1
39829,3692,0,0.0,126,1
40111,3717,0,0.0,127,1
40241,3731,0,0.0,128,1
40423,3739,0,0.0,129,1
40433,3742,0,0.0,130,1
40471,3744,0,0.0,131,1
40483,3745,0,0.0,132,1
40519,3750,0,0.0,133,1
40609,3758,0,0.0,134,1
40637,3760,0,0.0,135,1
40739,3766,0,0.0,136,1
40853,3778,0,0.0,137,1
41011,3791,0,0.0,138,1
41081,3799,0,0.0,139,1
41117,3801,0,0.0,140,1
41233,3816,0,0.0,141,1
41269,3819,0,0.0,142,1
41351,3824,0,0.0,143,1
41467,3833,0,0.0,144,1
41611,3847,0,0.0,145,1
41897,3875,0,0.0,146,1
41903,3876,0,0.0,147,1
41947,3880,0,0.0,148,1
41957,3882,0,0.0,149,1
42043,3891,0,0.0,150,1
42089,3895,0,0.0,151,1
42187,3902,0,0.0,152,1
42239,3909,0,0.0,153,1
42281,3911,0,0.0,154,1
42283,3912,0,0.0,155,1
42293,3913,0,0.0,156,1
42307,3915,0,0.0,157,1
42323,3916,0,0.0,158,1
42337,3918,0,0.0,159,1
42349,3919,0,0.0,160,1
42403,3924,0,0.0,161,1
42457,3931,0,0.0,162,1
42533,3940,0,0.0,163,1
42557,3941,0,0.0,164,1
42589,3945,0,0.0,165,1
42677,3950,0,0.0,166,1
42683,3951,0,0.0,167,1
42701,3954,0,0.0,168,1
42793,3963,0,0.0,169,1
42797,3964,0,0.0,170,1
42839,3967,0,0.0,171,1
42953,3977,0,0.0,172,1
43159,3995,0,0.0,173,1
43237,4001,0,0.0,174,1
43399,4011,0,0.0,175,1
43427,4014,0,0.0,176,1
43457,4017,0,0.0,177,1
43541,4022,0,0.0,178,1
43649,4034,0,0.0,179,1
43661,4036,0,0.0,180,1
43669,4037,0,0.0,181,1
43759,4042,0,0.0,182,1
43789,4047,0,0.0,183,1
44029,4067,0,0.0,184,1
44087,4072,0,0.0,185,1
44129,4077,0,0.0,186,1
44273,4092,0,0.0,187,1
44279,4093,0,0.0,188,1
44537,4113,0,0.0,189,1
44633,4121,0,0.0,190,1
44647,4123,0,0.0,191,1
44683,4125,0,0.0,192,1
44777,4134,0,0.0,193,1
44851,4141,0,0.0,194,1
45053,4157,0,0.0,195,1
45083,4160,0,0.0,196,1
45341,4180,0,0.0,197,1
