t,center,is_twin,core_edges,core_components,core_isolated_nodes,core_gc_size,core_gc_fraction,core_gc_spectral_gap,core_gc_entropy,twin_isolates,twin_deg_sum,twin_deg_minus1,twin_deg_plus1,twin_is_isolated_minus1,twin_is_isolated_plus1,twin_in_gc_minus1,twin_in_gc_plus1,t_mod_11,is_forbidden_11,dist_to_forbid_11,t_mod_13,is_forbidden_13,dist_to_forbid_13,t_mod_17,is_forbidden_17,dist_to_forbid_17,layer_hits_L1,layer_hits_L2,layer_hits_L3,layer_allow_L1,layer_allow_L2,layer_allow_L3
1049776,2645435520,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,2,0,1,0,0,6,9,0,4,0,0,0,1,1,1
2094563,5278298760,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,9,0,1,3,0,3,10,0,3,0,0,0,1,1,1
334771,843622920,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,8,0,2,8,0,1,7,0,3,0,0,0,1,1,1
786414,1981763280,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,2,0,1,5,0,1,11,0,2,0,0,0,1,1,1
1078724,2718384480,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,9,0,1,10,0,3,6,0,2,0,0,0,1,1,1
1723055,4342098600,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,4,0,3,9,0,2,3,0,1,0,0,0,1,1,1
924146,2328847920,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,3,0,2,2,0,4,9,0,4,0,0,0,1,1,1
2185417,5507250840,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,3,0,2,0,0,6,16,0,3,0,0,0,1,1,1
179657,452735640,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,5,0,4,10,0,3,1,0,3,0,0,0,1,1,1
1042226,2626409520,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,9,0,1,3,0,3,7,0,3,0,0,0,1,1,1
584212,1472214240,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,2,0,1,5,0,1,7,0,3,0,0,0,1,1,1
112185,282706200,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,7,0,3,8,0,1,2,0,2,0,0,0,1,1,1
314692,793023840,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,4,0,3,1,0,5,5,0,1,0,0,0,1,1,1
1772038,4465535760,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,4,0,3,8,0,1,9,0,4,0,0,0,1,1,1
345103,869659560,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,0,0,1,5,0,1,3,0,1,0,0,0,1,1,1
1629126,4105397520,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,4,0,3,5,0,1,16,0,3,0,0,0,1,1,1
19820,49946400,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,9,0,1,8,0,1,15,0,2,0,0,0,1,1,1
1918562,4834776240,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,8,0,2,9,0,2,10,0,3,0,0,0,1,1,1
1520556,3831801120,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,4,0,3,11,0,4,8,0,4,0,0,0,1,1,1
1623429,4091041080,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,5,0,4,2,0,4,14,0,1,0,0,0,1,1,1
1294334,3261721680,1,0,61,61,1,0.01639344262295082,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,8,0,2,2,0,4,5,0,1,0,0,0,1,1,1
