run_id,n_start,q0,H,W,weights,dt,smooth,frames,conf_min,sanity,runtime_s,mean_dx,median_dx,q_eff,slope_kpeak,track_r2,valid_frac,wave_strength,visibility_score,notes
n50e6_q8_H512_W1024_invq_dt5_sm9_permute_cols,50000000,8,512,1024,invq,5,9,300,0.15,permute_cols,0.1820082664489746,-0.9593220338983051,8.0,nan,0.06461338543272889,0.00036027991283138494,1.0,4.404500802497212,0.08360200978159689,
n50e6_q9_H512_W1024_invq_dt5_sm9_permute_cols,50000000,9,512,1024,invq,5,9,300,0.15,permute_cols,0.25992918014526367,-0.5423728813559322,15.0,nan,0.0823487617698356,0.0006342242489296712,1.0,4.545736644960863,0.11447896462061306,
n50e6_q10_H512_W1024_invq_dt5_sm9_permute_cols,50000000,10,512,1024,invq,5,9,300,0.15,permute_cols,0.497894287109375,4.654237288135593,2.0,1.0742898761835398,0.3333813232095332,0.010193336055354774,1.0,4.710996523502075,0.47563187857441874,
n50e6_q11_H512_W1024_invq_dt5_sm9_permute_cols,50000000,11,512,1024,invq,5,9,300,0.15,permute_cols,0.17456865310668945,-0.17966101694915254,-15.0,nan,-0.12530219601931525,0.0012770803648561868,1.0,4.822569674733708,0.1723406095718305,
n50e6_q12_H512_W1024_invq_dt5_sm9_permute_cols,50000000,12,512,1024,invq,5,9,300,0.15,permute_cols,0.1812441349029541,5.294915254237288,-2.0,0.9443021766965429,0.059506670275723046,0.000288780772721986,1.0,4.975813741587016,0.08455674416433233,
n50e6_q13_H512_W1024_invq_dt5_sm9_permute_cols,50000000,13,512,1024,invq,5,9,300,0.15,permute_cols,0.1647491455078125,-0.2576271186440678,2.0,nan,0.041483354668797705,0.00015895837126678192,1.0,5.117515217410505,0.06452096360684402,
n50e6_q14_H512_W1024_invq_dt5_sm9_permute_cols,50000000,14,512,1024,invq,5,9,300,0.15,permute_cols,0.20688867568969727,-1.1661016949152543,2.0,nan,-0.29680415454916637,0.007524373874733703,1.0,5.252128185477856,0.45558613704243534,
n50e6_q15_H512_W1024_invq_dt5_sm9_permute_cols,50000000,15,512,1024,invq,5,9,300,0.15,permute_cols,0.3794233798980713,-0.576271186440678,21.0,nan,-0.17937775201645886,0.002935043370070889,1.0,5.296203997001803,0.2869273625219807,
n50e6_q16_H512_W1024_invq_dt5_sm9_permute_cols,50000000,16,512,1024,invq,5,9,300,0.15,permute_cols,0.24049997329711914,-3.3389830508474576,-6.0,nan,-0.1596623257687839,0.0025728652362798643,1.0,4.20183361302964,0.21313136697294432,
n50e6_q17_H512_W1024_invq_dt5_sm9_permute_cols,50000000,17,512,1024,invq,5,9,300,0.15,permute_cols,0.22519564628601074,-4.857627118644068,8.0,nan,-0.03551936578531723,0.00012463924499062085,1.0,4.230198901528665,0.04722676447677993,
n50e6_q18_H512_W1024_invq_dt5_sm9_permute_cols,50000000,18,512,1024,invq,5,9,300,0.15,permute_cols,0.3282358646392822,-5.969491525423729,-27.0,nan,-0.32865463180836135,0.011841709596587147,1.0,4.295548288481784,0.46743993046348586,
n50e6_q19_H512_W1024_invq_dt5_sm9_permute_cols,50000000,19,512,1024,invq,5,9,300,0.15,permute_cols,0.19722938537597656,-0.5559322033898305,4.0,nan,-0.17429861546160183,0.0032397629033845687,1.0,4.381761875328722,0.24940513244829632,
n50e6_q20_H512_W1024_invq_dt5_sm9_permute_cols,50000000,20,512,1024,invq,5,9,300,0.15,permute_cols,0.27160048484802246,2.016949152542373,6.0,2.4789915966386555,0.13334159132668036,0.001915720896019435,1.0,4.4751143519718175,0.19587105181275252,
n200e6_q6_H512_W1024_invq_dt5_sm9_permute_cols,200000000,6,512,1024,invq,5,9,300,0.15,permute_cols,0.19410014152526855,1.8745762711864407,7.0,2.667269439421338,0.1278417642766496,0.001398056198454456,1.0,2.99999983800001,0.11217176305639312,
n200e6_q7_H512_W1024_invq_dt5_sm9_permute_cols,200000000,7,512,1024,invq,5,9,300,0.15,permute_cols,0.2184891700744629,-0.6338983050847458,4.0,nan,0.09155300233332152,0.000793500610995368,1.0,4.062306336550415,0.11443168764556935,
n200e6_q8_H512_W1024_invq_dt5_sm9_permute_cols,200000000,8,512,1024,invq,5,9,300,0.15,permute_cols,0.3492588996887207,-2.145762711864407,11.0,nan,-0.014813447154986224,2.3393564823503965e-05,1.0,4.422040161291104,0.021388034989998864,
n200e6_q9_H512_W1024_invq_dt5_sm9_permute_cols,200000000,9,512,1024,invq,5,9,300,0.15,permute_cols,0.25314760208129883,-7.233898305084746,2.0,nan,0.04218871237403917,0.0001729793123312895,1.0,4.535578018525903,0.059652647734491436,
n200e6_q10_H512_W1024_invq_dt5_sm9_permute_cols,200000000,10,512,1024,invq,5,9,300,0.15,permute_cols,0.42568421363830566,-3.8677966101694916,7.0,nan,-0.2370324492938978,0.005902869984258929,1.0,4.719950559440207,0.3626344491231478,
n200e6_q11_H512_W1024_invq_dt5_sm9_permute_cols,200000000,11,512,1024,invq,5,9,300,0.15,permute_cols,0.7938551902770996,1.4,-19.0,3.5714285714285716,-0.34858367531041085,0.010616877862655527,1.0,4.808294164214187,0.49543814382537743,
n200e6_q12_H512_W1024_invq_dt5_sm9_permute_cols,200000000,12,512,1024,invq,5,9,300,0.15,permute_cols,0.40206217765808105,2.983050847457627,12.0,1.6761363636363635,0.07571821213925467,0.00044287964998035445,1.0,4.985810281692284,0.10492491147345803,
n200e6_q13_H512_W1024_invq_dt5_sm9_permute_cols,200000000,13,512,1024,invq,5,9,300,0.15,permute_cols,0.3945655822753906,1.0915254237288134,-11.0,4.580745341614907,0.1363626164894386,0.001578898961330788,1.0,5.084702290411725,0.20204248412813494,
n200e6_q14_H512_W1024_invq_dt5_sm9_permute_cols,200000000,14,512,1024,invq,5,9,300,0.15,permute_cols,0.7866573333740234,2.4372881355932203,-4.0,2.0514603616133518,0.07427664608035527,0.00045609271396840345,1.0,5.213119638211232,0.11133308903089491,
n200e6_q15_H512_W1024_invq_dt5_sm9_permute_cols,200000000,15,512,1024,invq,5,9,300,0.15,permute_cols,0.2839779853820801,-0.15254237288135594,-2.0,nan,0.34934699484524595,0.01194957578264233,1.0,5.237618487621987,0.5725456307459331,
n200e6_q16_H512_W1024_invq_dt5_sm9_permute_cols,200000000,16,512,1024,invq,5,9,300,0.15,permute_cols,0.7469406127929688,3.3389830508474576,5.0,1.49746192893401,-0.18618639394282077,0.003053516459258887,1.0,4.283505364837115,0.2367006485149481,
n200e6_q17_H512_W1024_invq_dt5_sm9_permute_cols,200000000,17,512,1024,invq,5,9,300,0.15,permute_cols,0.886469841003418,0.5966101694915255,9.0,8.380681818181818,-0.07503575871385024,0.00052832931128588,1.0,4.27803869605483,0.09833249561181162,
n200e6_q18_H512_W1024_invq_dt5_sm9_permute_cols,200000000,18,512,1024,invq,5,9,300,0.15,permute_cols,0.6542165279388428,-2.8033898305084746,10.0,nan,0.1832658670436872,0.003338994382364402,1.0,4.32990478023996,0.2501993574344148,
n200e6_q19_H512_W1024_invq_dt5_sm9_permute_cols,200000000,19,512,1024,invq,5,9,300,0.15,permute_cols,0.3547651767730713,7.4271186440677965,5.0,0.6732085805568234,0.006046257248381938,3.692098319407755e-06,1.0,4.400288752214797,0.008455081635641534,
n200e6_q20_H512_W1024_invq_dt5_sm9_permute_cols,200000000,20,512,1024,invq,5,9,300,0.15,permute_cols,0.8013391494750977,4.132203389830509,15.0,1.210008203445447,-0.03973234735724369,0.00017435096540385775,1.0,4.453392858256206,0.058803501406375254,
