p,killed_Q0,ap_count_delta_1000000,ap_harm_delta_1000000,ap_count_delta_2000000,ap_harm_delta_2000000,ap_count_delta_5000000,ap_harm_delta_5000000,ap_count_delta_10000000,ap_harm_delta_10000000,survive_1000000,survive_2000000,survive_5000000,survive_10000000
81569,0,0,0.0,1,0.07142857142857142,2,0.09774436090225563,5,0.1332241588820536,1,1,1,1
81611,0,1,0.5,1,0.5,2,0.5178571428571429,4,0.5373015873015873,0,0,0,0
81619,0,1,0.1,1,0.1,2,0.11724137931034484,5,0.15191124873631182,1,1,1,1
81629,0,1,0.125,1,0.125,4,0.19768518518518519,7,0.22845441595441596,0,0,0,0
81637,0,1,0.16666666666666666,1,0.16666666666666666,1,0.16666666666666666,4,0.20064935064935063,1,1,1,1
81647,0,0,0.0,0,0.0,2,0.05929487179487179,6,0.10449698179961338,1,1,1,1
81649,0,0,0.0,0,0.0,1,0.03333333333333333,3,0.057886904761904764,1,1,1,1
81667,0,0,0.0,1,0.041666666666666664,1,0.041666666666666664,2,0.056818181818181816,1,1,1,1
81671,0,0,0.0,0,0.0,2,0.04083333333333333,2,0.04083333333333333,1,1,1,1
81677,0,0,0.0,0,0.0,1,0.017857142857142856,2,0.026948051948051947,1,1,1,1
81689,0,0,0.0,1,0.07142857142857142,2,0.10476190476190475,3,0.11437728937728936,1,1,1,1
81701,0,1,0.16666666666666666,1,0.16666666666666666,2,0.1875,3,0.2,1,1,1,1
81703,0,0,0.0,0,0.0,2,0.054411764705882354,3,0.06552287581699347,1,1,1,1
81707,0,0,0.0,2,0.09722222222222221,2,0.09722222222222221,3,0.10972222222222221,1,1,1,1
81727,0,0,0.0,1,0.0625,3,0.10474137931034483,5,0.1262691570881226,1,1,1,1
81737,0,0,0.0,0,0.0,2,0.05964912280701754,2,0.05964912280701754,1,1,1,1
81749,0,1,0.125,1,0.125,3,0.17476851851851852,5,0.20371806359709588,1,1,1,1
81761,0,1,0.125,1,0.125,4,0.21589912280701753,5,0.22570304437564498,0,0,0,0
81769,0,0,0.0,1,0.045454545454545456,2,0.06397306397306397,3,0.07679357679357679,1,1,1,1
81773,0,0,0.0,1,0.07142857142857142,1,0.07142857142857142,4,0.10334787761258349,1,0,0,0
81799,0,0,0.0,0,0.0,0,0.0,3,0.032730263157894735,1,1,1,0
81817,0,0,0.0,1,0.0625,2,0.0875,3,0.09791666666666667,1,1,1,1
81839,0,1,0.5,2,0.5555555555555556,3,0.576388888888889,5,0.5990497076023392,0,0,0,0
81847,0,0,0.0,1,0.05555555555555555,1,0.05555555555555555,4,0.08993055555555556,1,1,1,0
81853,0,0,0.0,1,0.045454545454545456,3,0.09219367588932807,5,0.1158864863468444,1,1,1,1
81869,0,0,0.0,1,0.041666666666666664,4,0.1325657894736842,6,0.1583102063471333,1,1,1,1
81883,0,0,0.0,1,0.041666666666666664,1,0.041666666666666664,2,0.056818181818181816,1,1,1,1
81899,0,0,0.0,1,0.041666666666666664,1,0.041666666666666664,3,0.06378205128205128,1,1,1,0
81901,0,0,0.0,2,0.10795454545454546,4,0.1630270092226614,6,0.18028891398456615,1,1,1,1
81919,0,0,0.0,0,0.0,1,0.017241379310344827,2,0.031130268199233715,1,1,1,1
81929,0,0,0.0,1,0.041666666666666664,1,0.041666666666666664,2,0.05448717948717949,1,1,1,1
81931,0,1,0.1,1,0.1,3,0.14464285714285716,6,0.17983405483405485,1,1,1,1
81937,0,0,0.0,1,0.0625,1,0.0625,3,0.0821969696969697,1,1,1,1
81943,0,1,0.1,1,0.1,2,0.125,5,0.15489562320435235,1,1,1,1
81953,0,1,0.16666666666666666,2,0.20833333333333331,2,0.20833333333333331,6,0.2499748617395676,1,1,1,1
81967,0,0,0.0,1,0.0625,1,0.0625,2,0.07386363636363637,1,1,1,1
81971,0,0,0.0,0,0.0,3,0.08971153846153847,4,0.09991562009419153,1,1,1,1
81973,0,0,0.0,0,0.0,0,0.0,0,0.0,1,1,1,1
82003,0,0,0.0,0,0.0,0,0.0,3,0.032740195326481564,1,1,1,1
82007,0,0,0.0,0,0.0,0,0.0,1,0.013513513513513514,1,1,1,1
82009,0,0,0.0,1,0.045454545454545456,1,0.045454545454545456,4,0.07724668948073203,1,0,0,0
82013,0,0,0.0,0,0.0,1,0.018518518518518517,4,0.05054466230936819,1,1,1,1
82021,0,0,0.0,1,0.045454545454545456,1,0.045454545454545456,2,0.059343434343434344,1,1,1,1
82031,0,0,0.0,0,0.0,2,0.041666666666666664,3,0.049999999999999996,1,1,1,1
82037,0,1,0.125,1,0.125,2,0.14583333333333334,4,0.16707662492546213,1,1,1,1
82039,0,0,0.0,1,0.05555555555555555,3,0.10877684407096172,6,0.14597196602218124,1,1,1,1
82051,0,0,0.0,1,0.05555555555555555,3,0.0936302681992337,6,0.12806423046338467,1,1,1,1
82067,0,0,0.0,2,0.09722222222222221,3,0.13568376068376067,4,0.14679487179487177,1,0,0,0
82073,0,0,0.0,0,0.0,2,0.036375661375661374,2,0.036375661375661374,1,1,1,1
82129,0,0,0.0,1,0.045454545454545456,2,0.0787878787878788,5,0.10948467728128747,1,0,0,0
82139,0,2,0.625,2,0.625,2,0.625,4,0.6472854433380749,0,0,0,0
82141,0,0,0.0,0,0.0,1,0.020833333333333332,2,0.03511904761904762,1,1,1,1
82153,0,0,0.0,0,0.0,2,0.058333333333333334,6,0.10334663120567376,1,1,0,0
82163,0,0,0.0,0,0.0,0,0.0,3,0.0360042735042735,1,1,1,1
82171,0,0,0.0,0,0.0,1,0.025,2,0.03443396226415094,1,1,1,1
82183,0,0,0.0,0,0.0,1,0.029411764705882353,4,0.06441390878821511,1,1,1,1
82189,0,0,0.0,0,0.0,0,0.0,1,0.01282051282051282,1,1,1,1
82193,0,1,0.16666666666666666,2,0.23809523809523808,2,0.23809523809523808,4,0.2636120339608712,0,0,0,0
82207,0,0,0.0,1,0.05555555555555555,2,0.07638888888888888,3,0.08516081871345028,1,0,0,0
82217,0,0,0.0,0,0.0,1,0.018518518518518517,3,0.03594276094276094,1,1,1,1
82219,0,1,0.1,1,0.1,3,0.14105090311986865,5,0.168039539483505,1,1,1,1
82223,0,1,0.5,2,0.5416666666666666,4,0.5967261904761905,7,0.6242481203007518,0,0,0,0
82231,0,0,0.0,1,0.0625,3,0.10833333333333332,5,0.13055555555555554,1,0,0,0
82237,0,0,0.0,1,0.041666666666666664,1,0.041666666666666664,3,0.06792996453900708,1,0,0,0
82241,0,2,0.29166666666666663,2,0.29166666666666663,4,0.3388157894736841,8,0.3896670439539709,1,1,1,1
82261,0,1,0.16666666666666666,2,0.22916666666666666,2,0.22916666666666666,7,0.2810310230923392,1,1,1,1
82267,0,1,0.1,1,0.1,2,0.12083333333333333,5,0.15372474747474746,1,1,1,1
82279,0,1,0.1,1,0.1,2,0.12380952380952381,3,0.13517316017316017,0,0,0,0
82301,0,1,0.16666666666666666,1,0.16666666666666666,2,0.1875,4,0.2127199413489736,0,0,0,0
82307,0,0,0.0,1,0.05555555555555555,2,0.07555555555555556,4,0.09927315070172213,1,1,1,0
82339,0,0,0.0,0,0.0,1,0.025,2,0.03719512195121952,1,1,1,1
82349,0,0,0.0,1,0.07142857142857142,3,0.13107769423558896,4,0.14496658312447785,1,1,1,1
82351,0,0,0.0,1,0.05555555555555555,2,0.08055555555555555,3,0.08998951781970649,1,0,0,0
82361,0,1,0.16666666666666666,1,0.16666666666666666,3,0.2157738095238095,5,0.23466864018334604,0,0,0,0
82373,0,0,0.0,1,0.07142857142857142,1,0.07142857142857142,3,0.09226190476190475,1,1,1,1
82387,0,0,0.0,2,0.11805555555555555,2,0.11805555555555555,2,0.11805555555555555,1,1,1,1
82393,0,1,0.16666666666666666,2,0.20833333333333331,2,0.20833333333333331,3,0.21874999999999997,1,1,1,1
82421,0,0,0.0,0,0.0,0,0.0,1,0.016129032258064516,1,1,1,1
82457,0,2,0.29166666666666663,2,0.29166666666666663,3,0.31249999999999994,4,0.32412790697674415,1,1,1,0
82463,0,0,0.0,0,0.0,0,0.0,2,0.02312889812889813,1,1,1,1
82469,0,0,0.0,1,0.07142857142857142,2,0.10476190476190475,3,0.11309523809523808,1,0,0,0
82471,0,0,0.0,1,0.05555555555555555,2,0.07936507936507936,4,0.0988095238095238,1,1,1,0
82483,0,0,0.0,1,0.0625,1,0.0625,4,0.10073678861788618,1,0,0,0
82487,0,0,0.0,1,0.041666666666666664,1,0.041666666666666664,3,0.06293859649122807,1,1,1,1
82493,0,1,0.16666666666666666,1,0.16666666666666666,2,0.1845238095238095,3,0.1936147186147186,1,1,1,1
82499,0,1,0.5,1,0.5,5,0.5958928571428572,9,0.6445671893698209,0,0,0,0
82507,0,0,0.0,2,0.10416666666666666,2,0.10416666666666666,6,0.15548825519344386,1,1,1,1
82529,0,0,0.0,1,0.041666666666666664,3,0.0888157894736842,3,0.0888157894736842,1,1,1,1
82531,0,0,0.0,1,0.05555555555555555,2,0.07279693486590039,6,0.11085643825559245,1,1,1,1
82549,0,0,0.0,0,0.0,0,0.0,0,0.0,1,1,1,1
82559,0,0,0.0,1,0.041666666666666664,4,0.11672619047619047,5,0.12505952380952381,1,1,1,1
82561,0,0,0.0,0,0.0,0,0.0,5,0.05736110640771658,1,1,1,1
82567,0,0,0.0,0,0.0,2,0.04224137931034483,4,0.06897749042145594,1,1,1,1
82571,0,0,0.0,0,0.0,2,0.05929487179487179,4,0.08465046857904,1,1,1,1
82591,0,0,0.0,1,0.0625,1,0.0625,3,0.08302845528455284,1,1,1,1
82601,0,1,0.125,1,0.125,2,0.14285714285714285,6,0.18952778487662209,1,1,1,1
82609,0,0,0.0,1,0.045454545454545456,3,0.10378787878787879,6,0.12952435982097,1,0,0,0
82613,0,1,0.16666666666666666,2,0.20833333333333331,2,0.20833333333333331,6,0.2492727376362807,0,0,0,0
82619,0,0,0.0,1,0.041666666666666664,1,0.041666666666666664,3,0.06005398110661268,1,1,1,1
82633,0,1,0.16666666666666666,2,0.22916666666666666,2,0.22916666666666666,4,0.2487335359675785,1,1,1,1
82651,0,0,0.0,0,0.0,1,0.023809523809523808,4,0.05294045577064445,1,1,1,1
82657,0,0,0.0,0,0.0,0,0.0,4,0.05191264852169107,1,1,1,1
82699,0,0,0.0,1,0.041666666666666664,2,0.05890804597701149,6,0.10269255807025272,1,1,1,1
82721,0,1,0.125,1,0.125,2,0.14285714285714285,3,0.1526610644257703,1,1,1,1
82723,0,1,0.1,1,0.1,2,0.12941176470588237,3,0.14456327985739753,1,1,1,1
82727,0,0,0.0,0,0.0,1,0.02,3,0.04866502866502867,1,1,1,1
82729,0,0,0.0,0,0.0,1,0.018518518518518517,4,0.049617529178845224,1,1,1,0
82757,0,0,0.0,1,0.041666666666666664,3,0.07804232804232804,5,0.10047822547822546,1,1,1,1
82759,0,1,0.1,2,0.14166666666666666,4,0.18831981068289386,4,0.18831981068289386,1,1,1,1
82763,0,1,0.5,1,0.5,1,0.5,1,0.5,0,0,0,0
82781,0,1,0.16666666666666666,1,0.16666666666666666,3,0.2263157894736842,4,0.2354066985645933,1,1,1,1
82787,0,0,0.0,1,0.041666666666666664,2,0.06166666666666666,6,0.10297064777327936,1,1,1,1
82793,0,0,0.0,0,0.0,0,0.0,1,0.013888888888888888,1,1,1,1
82799,0,0,0.0,0,0.0,3,0.06464285714285714,3,0.06464285714285714,1,1,1,1
82811,0,0,0.0,0,0.0,1,0.017857142857142856,4,0.0515460729746444,1,1,1,1
82813,0,0,0.0,0,0.0,0,0.0,2,0.02395833333333333,1,1,1,1
82837,0,0,0.0,1,0.041666666666666664,4,0.1092391304347826,6,0.12907734306960542,1,1,1,1
82847,0,0,0.0,1,0.05555555555555555,1,0.05555555555555555,5,0.10021223146223146,1,1,1,0
82883,0,0,0.0,1,0.041666666666666664,1,0.041666666666666664,6,0.0975412912912913,1,1,1,1
82889,0,0,0.0,1,0.07142857142857142,2,0.09226190476190475,3,0.10615079365079363,1,1,1,1
82891,0,0,0.0,0,0.0,1,0.017241379310344827,3,0.0397161267850923,1,1,1,1
82903,0,0,0.0,1,0.0625,2,0.08630952380952381,4,0.10549812030075188,1,0,0,0
82913,0,1,0.16666666666666666,1,0.16666666666666666,2,0.19999999999999998,3,0.21041666666666664,0,0,0,0
82939,0,0,0.0,0,0.0,0,0.0,1,0.012195121951219513,1,1,1,1
