p,killed_Q0,survive_Q1,hazard,rank
22861,0,1,0.0,595
22877,0,1,0.0,596
22901,0,1,0.0,597
22921,0,1,0.0,598
22961,0,1,0.0,599
22963,0,1,0.0,600
22973,0,1,0.0,601
22993,0,1,0.0,602
23003,0,1,0.0,603
23011,0,1,0.0,604
23017,0,1,0.0,605
23021,0,1,0.0,606
23029,0,1,0.0,607
23039,0,1,0.0,608
23057,0,1,0.0,609
23063,0,1,0.0,610
23087,0,1,0.0,611
23117,0,1,0.0,612
23131,0,1,0.0,613
23143,0,1,0.0,614
23159,0,1,0.0,615
23189,0,1,0.0,616
23201,0,1,0.0,617
23203,0,1,0.0,618
23209,0,1,0.0,619
23227,0,1,0.0,620
23251,0,1,0.0,621
23311,0,1,0.0,622
23327,0,1,0.0,623
23369,0,1,0.0,624
23509,0,1,0.0,625
23539,0,1,0.0,626
23549,0,1,0.0,627
23561,0,1,0.0,628
23581,0,1,0.0,629
23593,0,1,0.0,630
23609,0,1,0.0,631
23623,0,1,0.0,632
23629,0,1,0.0,633
23633,0,1,0.0,634
23663,0,1,0.0,635
23671,0,1,0.0,636
23689,0,1,0.0,637
23719,0,1,0.0,638
23743,0,1,0.0,639
23753,0,1,0.0,640
23767,0,1,0.0,641
23813,0,1,0.0,642
23833,0,1,0.0,643
23869,0,1,0.0,644
23893,0,1,0.0,645
23909,0,1,0.0,646
23977,0,1,0.0,647
23981,0,1,0.0,648
23993,0,1,0.0,649
24001,0,1,0.0,650
24007,0,1,0.0,651
24019,0,1,0.0,652
24049,0,1,0.0,653
24061,0,1,0.0,654
24083,0,1,0.0,655
24091,0,1,0.0,656
24103,0,1,0.0,657
24107,0,1,0.0,658
24109,0,1,0.0,659
24113,0,1,0.0,660
24121,0,1,0.0,661
24133,0,1,0.0,662
24137,0,1,0.0,663
24151,0,1,0.0,664
24169,0,1,0.0,665
24181,0,1,0.0,666
24229,0,1,0.0,667
24251,0,1,0.0,668
24329,0,1,0.0,669
24359,0,1,0.0,670
24371,0,1,0.0,671
24379,0,1,0.0,672
24407,0,1,0.0,673
24413,0,1,0.0,674
24439,0,1,0.0,675
24443,0,1,0.0,676
24469,0,1,0.0,677
24473,0,1,0.0,678
24481,0,1,0.0,679
24499,0,1,0.0,680
24517,0,1,0.0,681
24533,0,1,0.0,682
24571,0,1,0.0,683
24593,0,1,0.0,684
24697,0,1,0.0,685
24749,0,1,0.0,686
24767,0,1,0.0,687
24781,0,1,0.0,688
24799,0,1,0.0,689
24809,0,1,0.0,690
24841,0,1,0.0,691
24847,0,1,0.0,692
24851,0,1,0.0,693
24859,0,1,0.0,694
24877,0,1,0.0,695
24889,0,1,0.0,696
24907,0,1,0.0,697
24919,0,1,0.0,698
24923,0,1,0.0,699
24943,0,1,0.0,700
24953,0,1,0.0,701
24977,0,1,0.0,702
24979,0,1,0.0,703
24989,0,1,0.0,704
25013,0,1,0.0,705
25031,0,1,0.0,706
25033,0,1,0.0,707
25111,0,1,0.0,708
25121,0,1,0.0,709
25127,0,1,0.0,710
25169,0,1,0.0,711
25189,0,1,0.0,712
25219,0,1,0.0,713
25243,0,1,0.0,714
25253,0,1,0.0,715
25261,0,1,0.0,716
25301,0,1,0.0,717
25303,0,1,0.0,718
25307,0,1,0.0,719
25309,0,1,0.0,720
25321,0,1,0.0,721
25339,0,1,0.0,722
25343,0,1,0.0,723
25349,0,1,0.0,724
25391,0,1,0.0,725
25409,0,1,0.0,726
25411,0,1,0.0,727
25439,0,1,0.0,728
25453,0,1,0.0,729
25457,0,1,0.0,730
25463,0,1,0.0,731
25469,0,1,0.0,732
25471,0,1,0.0,733
25561,0,1,0.0,734
25577,0,1,0.0,735
25589,0,1,0.0,736
25603,0,1,0.0,737
25621,0,1,0.0,738
25639,0,1,0.0,739
25657,0,1,0.0,740
25667,0,1,0.0,741
25679,0,1,0.0,742
25733,0,1,0.0,743
25741,0,1,0.0,744
25747,0,1,0.0,745
25759,0,1,0.0,746
25771,0,1,0.0,747
25793,0,1,0.0,748
25819,0,1,0.0,749
25849,0,1,0.0,750
25873,0,1,0.0,751
25889,0,1,0.0,752
25931,0,1,0.0,753
25939,0,1,0.0,754
25943,0,1,0.0,755
25969,0,1,0.0,756
25997,0,1,0.0,757
26017,0,1,0.0,758
26029,0,1,0.0,759
26041,0,1,0.0,760
26083,0,1,0.0,761
26099,0,1,0.0,762
26107,0,1,0.0,763
26119,0,1,0.0,764
26141,0,1,0.0,765
26153,0,1,0.0,766
26171,0,1,0.0,767
26177,0,1,0.0,768
26183,0,1,0.0,769
26209,0,1,0.0,770
26237,0,1,0.0,771
26249,0,1,0.0,772
26251,0,1,0.0,773
26261,0,1,0.0,774
26267,0,1,0.0,775
26297,0,1,0.0,776
26309,0,1,0.0,777
26321,0,1,0.0,778
26339,0,1,0.0,779
26387,0,1,0.0,780
26399,0,1,0.0,781
26417,0,1,0.0,782
26423,0,1,0.0,783
26431,0,1,0.0,784
26437,0,1,0.0,785
26449,0,1,0.0,786
26479,0,1,0.0,787
26489,0,1,0.0,788
26497,0,1,0.0,789
26539,0,1,0.0,790
26557,0,1,0.0,791
26561,0,1,0.0,792
26591,0,1,0.0,793
26597,0,1,0.0,794
26641,0,1,0.0,795
26647,0,1,0.0,796
26669,0,1,0.0,797
26683,0,1,0.0,798
26687,0,1,0.0,799
26699,0,1,0.0,800
26711,0,1,0.0,801
26717,0,1,0.0,802
26723,0,1,0.0,803
26729,0,1,0.0,804
26759,0,1,0.0,805
26783,0,1,0.0,806
26821,0,1,0.0,807
