win_start,k,density
1,161,0.004545454545454545
1,162,0.004545454545454545
1,163,0.004545454545454545
1,164,0.004545454545454545
1,165,0.004545454545454545
1,166,0.004545454545454545
1,167,0.004545454545454545
1,168,0.004545454545454545
1,169,0.004545454545454545
1,170,0.004545454545454545
1,171,0.004545454545454545
1,172,0.004545454545454545
1,173,0.004545454545454545
1,174,0.004545454545454545
1,175,0.004545454545454545
1,176,0.004545454545454545
1,177,0.004545454545454545
1,178,0.004545454545454545
1,179,0.004545454545454545
1,180,0.004545454545454545
1,181,0.004545454545454545
1,182,0.004545454545454545
1,183,0.004545454545454545
1,184,0.004545454545454545
1,185,0.004545454545454545
1,186,0.004545454545454545
1,187,0.004545454545454545
1,188,0.004545454545454545
1,189,0.004545454545454545
1,190,0.004545454545454545
1,191,0.004545454545454545
1,192,0.004545454545454545
1,193,0.004545454545454545
1,194,0.004545454545454545
1,195,0.004545454545454545
1,196,0.004545454545454545
1,197,0.004545454545454545
1,198,0.004545454545454545
1,199,0.004545454545454545
1,200,0.004545454545454545
1,201,0.004545454545454545
1,202,0.004545454545454545
1,203,0.004545454545454545
1,204,0.004545454545454545
1,205,0.004545454545454545
1,206,0.004545454545454545
1,207,0.004545454545454545
1,208,0.004545454545454545
1,209,0.004545454545454545
1,210,0.004545454545454545
1,211,0.004545454545454545
1,212,0.004545454545454545
1,213,0.004545454545454545
1,214,0.004545454545454545
1,215,0.004545454545454545
1,216,0.004545454545454545
1,217,0.004545454545454545
1,218,0.004545454545454545
1,219,0.004545454545454545
1,220,0.004545454545454545
1,221,0.0
1,222,0.0
1,223,0.0
1,224,0.0
1,225,0.0
1,226,0.0
1,227,0.0
1,228,0.0
1,229,0.0
1,230,0.0
1,231,0.0
1,232,0.0
1,233,0.0
1,234,0.0
1,235,0.0
1,236,0.0
1,237,0.0
1,238,0.0
1,239,0.0
1,240,0.0
61,1,1.0
61,2,0.5
61,3,0.33181818181818185
61,4,0.25
61,5,0.2
61,6,0.16363636363636364
61,7,0.14545454545454545
61,8,0.12727272727272726
61,9,0.11363636363636363
61,10,0.1
61,11,0.09090909090909091
61,12,0.08181818181818182
61,13,0.07727272727272727
61,14,0.07272727272727272
61,15,0.06363636363636363
61,16,0.06363636363636363
61,17,0.05909090909090909
61,18,0.05454545454545454
61,19,0.05
61,20,0.05
61,21,0.05
61,22,0.045454545454545456
61,23,0.045454545454545456
61,24,0.04090909090909091
61,25,0.04090909090909091
61,26,0.03636363636363636
61,27,0.03636363636363636
61,28,0.03636363636363636
61,29,0.031818181818181815
61,30,0.031818181818181815
61,31,0.03636363636363636
61,32,0.031818181818181815
61,33,0.031818181818181815
61,34,0.031818181818181815
61,35,0.031818181818181815
61,36,0.02727272727272727
61,37,0.02727272727272727
61,38,0.02727272727272727
61,39,0.02727272727272727
61,40,0.02727272727272727
61,41,0.022727272727272728
61,42,0.022727272727272728
61,43,0.022727272727272728
61,44,0.022727272727272728
61,45,0.022727272727272728
61,46,0.022727272727272728
61,47,0.01818181818181818
61,48,0.01818181818181818
61,49,0.01818181818181818
61,50,0.01818181818181818
61,51,0.01818181818181818
61,52,0.01818181818181818
61,53,0.01818181818181818
61,54,0.01818181818181818
61,55,0.01818181818181818
61,56,0.01818181818181818
61,57,0.013636363636363636
61,58,0.013636363636363636
61,59,0.013636363636363636
61,60,0.013636363636363636
61,61,0.01818181818181818
61,62,0.01818181818181818
61,63,0.01818181818181818
61,64,0.01818181818181818
61,65,0.01818181818181818
61,66,0.01818181818181818
61,67,0.01818181818181818
61,68,0.01818181818181818
61,69,0.01818181818181818
61,70,0.01818181818181818
61,71,0.013636363636363636
61,72,0.013636363636363636
61,73,0.013636363636363636
61,74,0.013636363636363636
61,75,0.013636363636363636
61,76,0.013636363636363636
61,77,0.013636363636363636
61,78,0.013636363636363636
61,79,0.013636363636363636
61,80,0.013636363636363636
61,81,0.013636363636363636
61,82,0.013636363636363636
61,83,0.013636363636363636
61,84,0.013636363636363636
61,85,0.013636363636363636
61,86,0.013636363636363636
61,87,0.013636363636363636
61,88,0.013636363636363636
61,89,0.013636363636363636
61,90,0.013636363636363636
61,91,0.013636363636363636
61,92,0.013636363636363636
61,93,0.013636363636363636
61,94,0.00909090909090909
61,95,0.00909090909090909
61,96,0.00909090909090909
61,97,0.00909090909090909
61,98,0.00909090909090909
61,99,0.00909090909090909
61,100,0.00909090909090909
