n_start,t,n_top,peak_id,k_peak,k_peak_sub,peak_value
1000000,72,1000072,0,374,374.54862,0.0006237986
1000000,72,1000072,1,375,374.45163,0.00062579165
1000000,72,1000072,2,377,377,0.00071231259
1000000,73,1000073,0,374,374.54862,0.0006237986
1000000,73,1000073,1,375,374.45163,0.00062579165
1000000,73,1000073,2,377,377,0.00071231259
1000000,74,1000074,0,374,374.54862,0.0006237986
1000000,74,1000074,1,375,374.45163,0.00062579165
1000000,74,1000074,2,377,377,0.00071231259
1000000,75,1000075,0,374,374.54862,0.0006237986
1000000,75,1000075,1,375,374.45163,0.00062579165
1000000,75,1000075,2,377,377,0.00071231259
1000000,76,1000076,0,374,374.54862,0.00066499663
1000000,76,1000076,1,375,375,0.00066698969
1000000,76,1000076,2,377,377,0.00071231259
1000000,77,1000077,0,374,374.54862,0.00062344424
1000000,77,1000077,1,375,375,0.00062543729
1000000,77,1000077,2,377,377.52355,0.00067076019
1000000,78,1000078,0,374,374.54862,0.00062344424
1000000,78,1000078,1,375,375,0.00062543729
1000000,78,1000078,2,377,377.52355,0.00067076019
1000000,79,1000079,0,374,374.54862,0.00062344424
1000000,79,1000079,1,375,375,0.00062543729
1000000,79,1000079,2,377,377.52355,0.00067076019
1000000,80,1000080,0,374,374.54862,0.00062344424
1000000,80,1000080,1,375,375,0.00062543729
1000000,80,1000080,2,377,377.52355,0.00067076019
1000000,81,1000081,0,374,374.54862,0.00062344424
1000000,81,1000081,1,375,375,0.00062543729
1000000,81,1000081,2,377,377.52355,0.00067076019
1000000,82,1000082,0,374,374.54862,0.00062344424
1000000,82,1000082,1,375,375,0.00062543729
1000000,82,1000082,2,377,377.52355,0.00067076019
1000000,83,1000083,0,374,374.54862,0.00062344424
1000000,83,1000083,1,375,375,0.00062543729
1000000,83,1000083,2,377,377.52355,0.00067076019
1000000,84,1000084,0,374,374.54862,0.00062344424
1000000,84,1000084,1,375,375,0.00062543729
1000000,84,1000084,2,377,377.52355,0.00067076019
1000000,85,1000085,0,374,374.54862,0.00062344424
1000000,85,1000085,1,375,375,0.00062543729
1000000,85,1000085,2,377,377.52355,0.00067076019
1000000,86,1000086,0,374,374.54862,0.00062344424
1000000,86,1000086,1,375,375,0.00062543729
1000000,86,1000086,2,377,377.52355,0.00067076019
1000000,87,1000087,0,374,374.54862,0.00062344424
1000000,87,1000087,1,375,375,0.00062543729
1000000,87,1000087,2,377,377.52355,0.00067076019
1000000,88,1000088,0,374,374.54862,0.00062344424
1000000,88,1000088,1,375,375,0.00062543729
1000000,88,1000088,2,377,377.52355,0.00067076019
1000000,89,1000089,0,374,374.54862,0.00062344424
1000000,89,1000089,1,375,375,0.00062543729
1000000,89,1000089,2,377,377.52355,0.00067076019
1000000,90,1000090,0,374,374.54862,0.00062344424
1000000,90,1000090,1,375,375,0.00062543729
1000000,90,1000090,2,377,377.52355,0.00067076019
1000000,91,1000091,0,374,374.54862,0.00062344424
1000000,91,1000091,1,375,375,0.00062543729
1000000,91,1000091,2,377,377.52355,0.00067076019
