run_id,n_start,q0,H,W,weights,dt,smooth,frames,conf_min,sanity,runtime_s,mean_dx,median_dx,q_eff,slope_kpeak,track_r2,valid_frac,wave_strength,visibility_score,notes
n1e6_q16_H512_W1024_invq_dt5_sm9_none,1000000,16,512,1024,invq,5,9,300,0.15,none,0.4405076503753662,0.30847457627118646,0.0,16.208791208791208,0.06253704413514924,0.9971373913734339,1.0,6.043435444988546,6.03477925050514,
n1e6_q17_H512_W1024_invq_dt5_sm9_none,1000000,17,512,1024,invq,5,9,300,0.15,none,0.49030542373657227,0.29491525423728815,0.0,16.954022988505745,0.058797105649386755,0.9966324622504359,1.0,6.256717691026679,6.246173940414981,
n1e6_q18_H512_W1024_invq_dt5_sm9_none,1000000,18,512,1024,invq,5,9,300,0.15,none,0.42002248764038086,0.28135593220338984,0.0,17.771084337349397,0.0555451681357887,0.9962157216954661,1.0,6.495347543745929,6.483045793007183,
n1e6_q19_H512_W1024_invq_dt5_sm9_none,1000000,19,512,1024,invq,5,9,300,0.15,none,0.40250635147094727,0.2711864406779661,0.0,18.4375,0.05266671029367775,0.9957932429911044,1.0,6.62579384767716,6.611842607490378,
n1e6_q20_H512_W1024_invq_dt5_sm9_none,1000000,20,512,1024,invq,5,9,300,0.15,none,0.3528778553009033,0.24067796610169492,0.0,20.774647887323944,0.04991165499639143,0.9955097852417129,1.0,6.764725194284615,6.749520572626019,
n50e6_q6_H512_W1024_invq_dt5_sm9_none,50000000,6,512,1024,invq,5,9,300,0.15,none,0.3767988681793213,0.8338983050847457,1.0,5.995934959349594,0.16662849289418571,0.9995962944076365,1.0,3.6955007312652204,3.6947547088083628,
n50e6_q7_H512_W1024_invq_dt5_sm9_none,50000000,7,512,1024,invq,5,9,300,0.15,none,0.2964296340942383,0.711864406779661,1.0,7.023809523809524,0.14285714285236661,0.9994487384143781,1.0,3.974221907613553,3.973126338671269,
n50e6_q8_H512_W1024_invq_dt5_sm9_none,50000000,8,512,1024,invq,5,9,300,0.15,none,0.22232913970947266,0.6237288135593221,1.0,8.016304347826086,0.12504323763893638,0.9992748729364767,1.0,4.237126910588338,4.2355904043000265,
n50e6_q9_H512_W1024_invq_dt5_sm9_none,50000000,9,512,1024,invq,5,9,300,0.15,none,0.1734614372253418,0.559322033898305,1.0,8.93939393939394,0.1110622902248289,0.9990864694200726,1.0,4.486875035436833,4.484825118387794,
n50e6_q10_H512_W1024_invq_dt5_sm9_none,50000000,10,512,1024,invq,5,9,300,0.15,none,0.1501760482788086,0.49491525423728816,0.0,10.102739726027396,0.09999953256064432,0.9988730814508301,1.0,4.744151798201075,4.7414779083439695,
