p_range,seed,tf_q_limit,budget_fraction,prp_cost_hours,saved_compute_seconds
100000-220000,192021,10000000,0.01,1.0,1010.6832298136646
100000-220000,192021,10000000,0.01,24.0,24256.39751552795
100000-220000,192021,10000000,0.01,168.0,169794.78260869565
100000-220000,192021,10000000,0.05,1.0,-2146.5838509316754
100000-220000,192021,10000000,0.05,24.0,-51518.01242236021
100000-220000,192021,10000000,0.05,168.0,-360626.0869565215
100000-220000,222324,10000000,0.01,1.0,116.27329192546574
100000-220000,222324,10000000,0.01,24.0,2790.559006211178
100000-220000,222324,10000000,0.01,168.0,19533.913043478246
100000-220000,222324,10000000,0.05,1.0,-3018.6335403726707
100000-220000,222324,10000000,0.05,24.0,-72447.20496894409
100000-220000,222324,10000000,0.05,168.0,-507130.43478260865
100000-220000,252627,10000000,0.01,1.0,438.26086956521726
100000-220000,252627,10000000,0.01,24.0,10518.260869565214
100000-220000,252627,10000000,0.01,168.0,73627.82608695651
100000-220000,252627,10000000,0.05,1.0,5791.30434782609
100000-220000,252627,10000000,0.05,24.0,138991.30434782614
100000-220000,252627,10000000,0.05,168.0,972939.130434783
100000-220000,282930,10000000,0.01,1.0,-3447.9503105590065
100000-220000,282930,10000000,0.01,24.0,-82750.80745341616
100000-220000,282930,10000000,0.01,168.0,-579255.6521739131
100000-220000,282930,10000000,0.05,1.0,7960.248447204966
100000-220000,282930,10000000,0.05,24.0,191045.9627329192
100000-220000,282930,10000000,0.05,168.0,1337321.7391304343
300000-420000,123,1000000,0.01,1.0,1244.2953020134212
300000-420000,123,1000000,0.01,24.0,29863.087248322114
300000-420000,123,1000000,0.01,168.0,209041.61073825476
300000-420000,123,1000000,0.05,1.0,-18247.651006711414
300000-420000,123,1000000,0.05,24.0,-437943.624161074
300000-420000,123,1000000,0.05,168.0,-3065605.369127518
300000-420000,456,1000000,0.01,1.0,11210.738255033557
300000-420000,456,1000000,0.01,24.0,269057.71812080534
300000-420000,456,1000000,0.01,168.0,1883404.0268456375
300000-420000,456,1000000,0.05,1.0,-15169.12751677853
300000-420000,456,1000000,0.05,24.0,-364059.0604026847
300000-420000,456,1000000,0.05,168.0,-2548413.422818793
300000-420000,789,1000000,0.01,1.0,-3297.986577181209
300000-420000,789,1000000,0.01,24.0,-79151.67785234902
300000-420000,789,1000000,0.01,168.0,-554061.7449664432
300000-420000,789,1000000,0.05,1.0,-8506.711409395977
300000-420000,789,1000000,0.05,24.0,-204161.07382550347
300000-420000,789,1000000,0.05,168.0,-1429127.5167785243
300000-420000,101112,1000000,0.01,1.0,7646.979865771811
300000-420000,101112,1000000,0.01,24.0,183527.51677852345
300000-420000,101112,1000000,0.01,168.0,1284692.6174496643
300000-420000,101112,1000000,0.05,1.0,-7789.932885906043
300000-420000,101112,1000000,0.05,24.0,-186958.38926174503
300000-420000,101112,1000000,0.05,168.0,-1308708.7248322153
300000-420000,131415,1000000,0.01,1.0,14230.872483221474
300000-420000,131415,1000000,0.01,24.0,341540.9395973154
300000-420000,131415,1000000,0.01,168.0,2390786.577181208
300000-420000,131415,1000000,0.05,1.0,10763.75838926175
300000-420000,131415,1000000,0.05,24.0,258330.20134228197
300000-420000,131415,1000000,0.05,168.0,1808311.409395974
300000-420000,161718,1000000,0.01,1.0,4155.704697986577
300000-420000,161718,1000000,0.01,24.0,99736.91275167787
300000-420000,161718,1000000,0.01,168.0,698158.389261745
300000-420000,161718,1000000,0.05,1.0,14347.651006711414
300000-420000,161718,1000000,0.05,24.0,344343.62416107394
300000-420000,161718,1000000,0.05,168.0,2410405.3691275176
300000-420000,192021,1000000,0.01,1.0,18736.912751677857
300000-420000,192021,1000000,0.01,24.0,449685.90604026854
300000-420000,192021,1000000,0.01,168.0,3147801.34228188
300000-420000,192021,1000000,0.05,1.0,29643.624161073833
300000-420000,192021,1000000,0.05,24.0,711446.9798657721
300000-420000,192021,1000000,0.05,168.0,4980128.859060404
300000-420000,222324,1000000,0.01,1.0,-2718.120805369129
300000-420000,222324,1000000,0.01,24.0,-65234.8993288591
300000-420000,222324,1000000,0.01,168.0,-456644.29530201363
300000-420000,222324,1000000,0.05,1.0,5160.402684563753
300000-420000,222324,1000000,0.05,24.0,123849.66442953005
300000-420000,222324,1000000,0.05,168.0,866947.6510067104
300000-420000,252627,1000000,0.01,1.0,3249.6644295302026
300000-420000,252627,1000000,0.01,24.0,77991.94630872486
300000-420000,252627,1000000,0.01,168.0,545943.624161074
300000-420000,252627,1000000,0.05,1.0,17067.785234899337
300000-420000,252627,1000000,0.05,24.0,409626.8456375841
300000-420000,252627,1000000,0.05,168.0,2867387.9194630887
300000-420000,282930,1000000,0.01,1.0,555.704697986576
300000-420000,282930,1000000,0.01,24.0,13336.912751677824
300000-420000,282930,1000000,0.01,168.0,93358.38926174477
300000-420000,282930,1000000,0.05,1.0,14347.651006711414
300000-420000,282930,1000000,0.05,24.0,344343.62416107394
300000-420000,282930,1000000,0.05,168.0,2410405.3691275176
300000-420000,123,2000000,0.01,1.0,-6176.649746192894
300000-420000,123,2000000,0.01,24.0,-148239.59390862944
300000-420000,123,2000000,0.01,168.0,-1037677.1573604061
300000-420000,123,2000000,0.05,1.0,5859.898477157361
300000-420000,123,2000000,0.05,24.0,140637.56345177666
300000-420000,123,2000000,0.05,168.0,984462.9441624366
300000-420000,456,2000000,0.01,1.0,-13011.167512690354
300000-420000,456,2000000,0.01,24.0,-312268.0203045685
300000-420000,456,2000000,0.01,168.0,-2185876.1421319796
300000-420000,456,2000000,0.05,1.0,-17532.994923857867
300000-420000,456,2000000,0.05,24.0,-420791.8781725888
300000-420000,456,2000000,0.05,168.0,-2945543.1472081216
300000-420000,789,2000000,0.01,1.0,4879.187817258885
300000-420000,789,2000000,0.01,24.0,117100.50761421325
300000-420000,789,2000000,0.01,168.0,819703.5532994926
300000-420000,789,2000000,0.05,1.0,-3675.1269035532982
300000-420000,789,2000000,0.05,24.0,-88203.04568527915
300000-420000,789,2000000,0.05,168.0,-617421.319796954
300000-420000,101112,2000000,0.01,1.0,-1589.8477157360412
300000-420000,101112,2000000,0.01,24.0,-38156.34517766499
300000-420000,101112,2000000,0.01,168.0,-267094.4162436549
300000-420000,101112,2000000,0.05,1.0,-3660.9137055837577
300000-420000,101112,2000000,0.05,24.0,-87861.92893401018
300000-420000,101112,2000000,0.05,168.0,-615033.5025380714
300000-420000,131415,2000000,0.01,1.0,-2905.5837563451787
300000-420000,131415,2000000,0.01,24.0,-69734.01015228429
300000-420000,131415,2000000,0.01,168.0,-488138.07106599
300000-420000,131415,2000000,0.05,1.0,4233.502538071062
300000-420000,131415,2000000,0.05,24.0,101604.06091370549
300000-420000,131415,2000000,0.05,168.0,711228.4263959385
300000-420000,161718,2000000,0.01,1.0,-13522.842639593908
300000-420000,161718,2000000,0.01,24.0,-324548.2233502538
300000-420000,161718,2000000,0.01,168.0,-2271837.5634517767
300000-420000,161718,2000000,0.05,1.0,-5662.944162436548
300000-420000,161718,2000000,0.05,24.0,-135910.65989847714
300000-420000,161718,2000000,0.05,168.0,-951374.6192893401
300000-420000,192021,2000000,0.01,1.0,10946.192893401016
300000-420000,192021,2000000,0.01,24.0,262708.62944162433
300000-420000,192021,2000000,0.01,168.0,1838960.4060913706
300000-420000,192021,2000000,0.05,1.0,8722.842639593902
300000-420000,192021,2000000,0.05,24.0,209348.22335025365
300000-420000,192021,2000000,0.05,168.0,1465437.5634517756
300000-420000,222324,2000000,0.01,1.0,-2357.360406091371
300000-420000,222324,2000000,0.01,24.0,-56576.6497461929
300000-420000,222324,2000000,0.01,168.0,-396036.54822335026
300000-420000,222324,2000000,0.05,1.0,3344.162436548222
300000-420000,222324,2000000,0.05,24.0,80259.89847715733
300000-420000,222324,2000000,0.05,168.0,561819.2893401014
300000-420000,252627,2000000,0.01,1.0,4257.868020304569
300000-420000,252627,2000000,0.01,24.0,102188.83248730966
300000-420000,252627,2000000,0.01,168.0,715321.8274111676
300000-420000,252627,2000000,0.05,1.0,4052.791878172583
300000-420000,252627,2000000,0.05,24.0,97267.00507614198
300000-420000,252627,2000000,0.05,168.0,680869.035532994
300000-420000,282930,2000000,0.01,1.0,986.8020304568522
300000-420000,282930,2000000,0.01,24.0,23683.248730964453
300000-420000,282930,2000000,0.01,168.0,165782.74111675116
300000-420000,282930,2000000,0.05,1.0,9279.187817258882
300000-420000,282930,2000000,0.05,24.0,222700.5076142132
300000-420000,282930,2000000,0.05,168.0,1558903.5532994922
300000-420000,123,5000000,0.01,1.0,1305.351773902587
300000-420000,123,5000000,0.01,24.0,31328.442573662083
300000-420000,123,5000000,0.01,168.0,219299.0980156346
300000-420000,123,5000000,0.05,1.0,4043.7763078773282
300000-420000,123,5000000,0.05,24.0,97050.6313890559
300000-420000,123,5000000,0.05,168.0,679354.4197233912
300000-420000,456,5000000,0.01,1.0,11847.74503908599
300000-420000,456,5000000,0.01,24.0,284345.8809380638
300000-420000,456,5000000,0.01,168.0,1990421.1665664464
300000-420000,456,5000000,0.05,1.0,9986.049308478656
300000-420000,456,5000000,0.05,24.0,239665.18340348772
300000-420000,456,5000000,0.05,168.0,1677656.283824414
300000-420000,789,5000000,0.01,1.0,-6777.8713168971735
300000-420000,789,5000000,0.01,24.0,-162668.91160553214
300000-420000,789,5000000,0.01,168.0,-1138682.381238725
300000-420000,789,5000000,0.05,1.0,10531.569452796151
300000-420000,789,5000000,0.05,24.0,252757.66686710762
300000-420000,789,5000000,0.05,168.0,1769303.6680697533
300000-420000,101112,5000000,0.01,1.0,-2294.648226097414
300000-420000,101112,5000000,0.01,24.0,-55071.55742633793
300000-420000,101112,5000000,0.01,168.0,-385500.90198436554
300000-420000,101112,5000000,0.05,1.0,-13956.223692122667
300000-420000,101112,5000000,0.05,24.0,-334949.368610944
300000-420000,101112,5000000,0.05,168.0,-2344645.580276608
300000-420000,131415,5000000,0.01,1.0,4978.953698135899
300000-420000,131415,5000000,0.01,24.0,119494.88875526156
300000-420000,131415,5000000,0.01,168.0,836464.221286831
300000-420000,131415,5000000,0.05,1.0,11603.126879134095
300000-420000,131415,5000000,0.05,24.0,278475.04509921826
300000-420000,131415,5000000,0.05,168.0,1949325.315694528
300000-420000,161718,5000000,0.01,1.0,8726.157546602526
300000-420000,161718,5000000,0.01,24.0,209427.78111846064
300000-420000,161718,5000000,0.01,168.0,1465994.4678292244
300000-420000,161718,5000000,0.05,1.0,15921.82802164762
300000-420000,161718,5000000,0.05,24.0,382123.87251954287
300000-420000,161718,5000000,0.05,168.0,2674867.1076368
300000-420000,192021,5000000,0.01,1.0,-2809.8616957306076
300000-420000,192021,5000000,0.01,24.0,-67436.6806975346
300000-420000,192021,5000000,0.01,168.0,-472056.7648827421
300000-420000,192021,5000000,0.05,1.0,-5671.677690920028
300000-420000,192021,5000000,0.05,24.0,-136120.26458208068
300000-420000,192021,5000000,0.05,168.0,-952841.8520745648
300000-420000,222324,5000000,0.01,1.0,1047.74503908599
300000-420000,222324,5000000,0.01,24.0,25145.880938063758
300000-420000,222324,5000000,0.01,168.0,176021.1665664463
300000-420000,222324,5000000,0.05,1.0,-11613.950691521348
300000-420000,222324,5000000,0.05,24.0,-278734.81659651233
300000-420000,222324,5000000,0.05,168.0,-1951143.7161755865
300000-420000,252627,5000000,0.01,1.0,-2625.8568851473233
300000-420000,252627,5000000,0.01,24.0,-63020.565243535755
300000-420000,252627,5000000,0.01,168.0,-441143.9567047503
300000-420000,252627,5000000,0.05,1.0,-4773.30126277811
300000-420000,252627,5000000,0.05,24.0,-114559.23030667464
300000-420000,252627,5000000,0.05,168.0,-801914.6121467225
300000-420000,282930,5000000,0.01,1.0,-2478.653036680697
300000-420000,282930,5000000,0.01,24.0,-59487.67288033673
300000-420000,282930,5000000,0.01,168.0,-416413.7101623571
300000-420000,282930,5000000,0.05,1.0,21145.399879735418
300000-420000,282930,5000000,0.05,24.0,507489.5971136501
300000-420000,282930,5000000,0.05,168.0,3552427.1797955506
300000-420000,123,10000000,0.01,1.0,-7634.170854271357
300000-420000,123,10000000,0.01,24.0,-183220.1005025126
300000-420000,123,10000000,0.01,168.0,-1282540.703517588
300000-420000,123,10000000,0.05,1.0,-9370.854271356784
300000-420000,123,10000000,0.05,24.0,-224900.50251256282
300000-420000,123,10000000,0.05,168.0,-1574303.5175879397
300000-420000,456,10000000,0.01,1.0,-3780.904522613065
300000-420000,456,10000000,0.01,24.0,-90741.70854271356
300000-420000,456,10000000,0.01,168.0,-635191.9597989949
300000-420000,456,10000000,0.05,1.0,-904.5226130653266
300000-420000,456,10000000,0.05,24.0,-21708.542713567836
300000-420000,456,10000000,0.05,168.0,-151959.79899497487
300000-420000,789,10000000,0.01,1.0,3780.904522613065
300000-420000,789,10000000,0.01,24.0,90741.70854271356
300000-420000,789,10000000,0.01,168.0,635191.9597989949
300000-420000,789,10000000,0.05,1.0,8104.522613065325
300000-420000,789,10000000,0.05,24.0,194508.54271356782
300000-420000,789,10000000,0.05,168.0,1361559.7989949747
300000-420000,101112,10000000,0.01,1.0,-3419.095477386935
300000-420000,101112,10000000,0.01,24.0,-82058.29145728644
300000-420000,101112,10000000,0.01,168.0,-574408.0402010051
300000-420000,101112,10000000,0.05,1.0,4504.52261306533
300000-420000,101112,10000000,0.05,24.0,108108.54271356792
300000-420000,101112,10000000,0.05,168.0,756759.7989949754
300000-420000,131415,10000000,0.01,1.0,723.6180904522612
300000-420000,131415,10000000,0.01,24.0,17366.83417085427
300000-420000,131415,10000000,0.01,168.0,121567.83919597989
300000-420000,131415,10000000,0.05,1.0,18.09045226130701
300000-420000,131415,10000000,0.05,24.0,434.1708542713683
300000-420000,131415,10000000,0.05,168.0,3039.1959798995777
300000-420000,161718,10000000,0.01,1.0,7634.170854271357
300000-420000,161718,10000000,0.01,24.0,183220.1005025126
300000-420000,161718,10000000,0.01,168.0,1282540.703517588
300000-420000,161718,10000000,0.05,1.0,2170.8542713567854
300000-420000,161718,10000000,0.05,24.0,52100.502512562845
300000-420000,161718,10000000,0.05,168.0,364703.5175879399
300000-420000,192021,10000000,0.01,1.0,-2514.572864321608
300000-420000,192021,10000000,0.01,24.0,-60349.74874371859
300000-420000,192021,10000000,0.01,168.0,-422448.2412060302
300000-420000,192021,10000000,0.05,1.0,-1772.864321608039
300000-420000,192021,10000000,0.05,24.0,-42548.74371859294
300000-420000,192021,10000000,0.05,168.0,-297841.2060301506
300000-420000,222324,10000000,0.01,1.0,397.98994974874387
300000-420000,222324,10000000,0.01,24.0,9551.758793969851
300000-420000,222324,10000000,0.01,168.0,66862.31155778895
300000-420000,222324,10000000,0.05,1.0,12789.949748743722
300000-420000,222324,10000000,0.05,24.0,306958.7939698493
300000-420000,222324,10000000,0.05,168.0,2148711.5577889453
300000-420000,252627,10000000,0.01,1.0,-2948.7437185929653
300000-420000,252627,10000000,0.01,24.0,-70769.84924623117
300000-420000,252627,10000000,0.01,168.0,-495388.9447236182
300000-420000,252627,10000000,0.05,1.0,-11143.718592964828
300000-420000,252627,10000000,0.05,24.0,-267449.2462311558
300000-420000,252627,10000000,0.05,168.0,-1872144.723618091
