p_range,tf_q_limit,budget_fraction,prp_cost_hours,saved_compute_seconds_mean,saved_compute_seconds_ci_low,saved_compute_seconds_ci_high
pooled,1000000,0.01,24.0,1972956.573311367,681832.4085667214,3532759.1169686993
pooled,1000000,0.01,168.0,13810696.013179569,4772826.85996705,24729313.81878089
pooled,1000000,0.05,1.0,327420.00000000023,179810.99999999977,443713.5
pooled,1000000,0.05,24.0,7858080.000000006,4315463.999999994,10649124.0
pooled,1000000,0.05,168.0,55006560.00000004,30208247.999999955,74543868.0
pooled,2000000,0.01,1.0,-48276.00000000002,-71754.29999999999,27831.599999999995
pooled,2000000,0.01,24.0,-1158624.0000000005,-1722103.1999999997,667958.3999999998
pooled,2000000,0.01,168.0,-8110368.000000004,-12054722.399999999,4675708.8
pooled,2000000,0.05,1.0,-82979.99999999999,-185440.50000000003,34987.4999999998
pooled,2000000,0.05,24.0,-1991519.9999999998,-4450572.000000001,839699.9999999953
pooled,2000000,0.05,168.0,-13940639.999999998,-31154004.000000007,5877899.999999967
pooled,5000000,0.01,1.0,10540.627802690571,-42953.44035874439,50899.991031390135
pooled,5000000,0.01,24.0,252975.06726457368,-1030882.5686098653,1221599.784753363
pooled,5000000,0.01,168.0,1770825.4708520158,-7216177.980269058,8551198.493273543
pooled,5000000,0.05,1.0,11980.627802690506,-89359.2645739911,118897.85650224218
pooled,5000000,0.05,24.0,287535.06726457214,-2144622.349775786,2853548.5560538126
pooled,5000000,0.05,168.0,2012745.4708520046,-15012356.448430503,19974839.892376687
pooled,10000000,0.01,1.0,4692.816989381629,-38736.5958775765,39080.12492192381
pooled,10000000,0.01,24.0,112627.60774515911,-929678.3010618361,937922.9981261713
pooled,10000000,0.01,168.0,788393.2542161137,-6507748.1074328525,6565460.986883199
pooled,10000000,0.05,1.0,-16560.00000000002,-85329.0,93802.50000000001
pooled,10000000,0.05,24.0,-397440.0000000004,-2047895.9999999998,2251260.0000000005
pooled,10000000,0.05,168.0,-2782080.0000000033,-14335272.0,15758820.000000002
