p,score_mean_oos,n_oos_scores,dies_by_horizon
312343,0.7236067972097332,2,0
313387,0.7236067972097332,2,0
314497,0.7236067972097332,2,0
314527,0.7236067972097332,2,0
315739,0.7236067972097332,2,0
316033,0.7236067972097332,2,0
316391,0.7236067972097332,2,0
318161,0.7236067972097332,2,1
318211,0.7236067972097332,2,0
319441,0.7236067972097332,2,0
320083,0.7236067972097332,2,0
320113,0.7236067972097332,2,1
321031,0.7236067972097332,2,0
321313,0.7236067972097332,2,0
322039,0.7236067972097332,2,0
326351,0.7236067972097332,2,0
326537,0.7236067972097332,2,0
327079,0.7236067972097332,2,0
329053,0.7236067972097332,2,0
330289,0.7236067972097332,2,0
330731,0.7236067972097332,2,0
331241,0.7236067972097332,2,0
336703,0.7236067972097332,2,0
337153,0.7236067972097332,2,0
337219,0.7236067972097332,2,0
338141,0.7236067972097332,2,0
339091,0.7236067972097332,2,0
340111,0.7236067972097332,2,0
340793,0.7236067972097332,2,0
342319,0.7236067972097332,2,1
343771,0.7236067972097332,2,0
344917,0.7236067972097332,2,0
351749,0.7236067972097332,2,1
352757,0.7236067972097332,2,0
355717,0.7236067972097332,2,0
358201,0.7236067972097332,2,0
362419,0.7236067972097332,2,0
362429,0.7236067972097332,2,0
362969,0.7236067972097332,2,0
369013,0.7236067972097332,2,0
369119,0.7236067972097332,2,0
370813,0.7236067972097332,2,0
371353,0.7236067972097332,2,0
372149,0.7236067972097332,2,0
375149,0.7236067972097332,2,0
375391,0.7236067972097332,2,0
377521,0.7236067972097332,2,0
377981,0.7236067972097332,2,0
378571,0.7236067972097332,2,0
380729,0.7236067972097332,2,0
381737,0.7236067972097332,2,0
383609,0.7236067972097332,2,0
383833,0.7236067972097332,2,0
386041,0.7236067972097332,2,0
387463,0.7236067972097332,2,0
389141,0.7236067972097332,2,0
393797,0.7236067972097332,2,0
394787,0.7236067972097332,2,0
395443,0.7236067972097332,2,1
397973,0.7236067972097332,2,0
400579,0.7236067972097332,2,0
403061,0.7236067972097332,2,1
404017,0.7236067972097332,2,0
405767,0.7236067972097332,2,0
407321,0.7236067972097332,2,0
410411,0.7236067972097332,2,1
414703,0.7236067972097332,2,0
415517,0.7236067972097332,2,0
416677,0.7236067972097332,2,1
417793,0.7236067972097332,2,0
300367,0.7236067972097331,2,0
300877,0.7236067972097331,3,0
301429,0.7236067972097331,2,0
303139,0.7236067972097331,3,0
304739,0.7236067972097331,3,0
308923,0.7236067972097331,3,0
315047,0.7236067972097331,3,0
315199,0.7236067972097331,3,0
317459,0.7236067972097331,2,0
317827,0.7236067972097331,2,0
317831,0.7236067972097331,3,1
318301,0.7236067972097331,3,0
318323,0.7236067972097331,2,0
318407,0.7236067972097331,3,0
319681,0.7236067972097331,3,0
320389,0.7236067972097331,2,0
322939,0.7236067972097331,2,0
324983,0.7236067972097331,2,0
325343,0.7236067972097331,2,0
326083,0.7236067972097331,2,0
327433,0.7236067972097331,3,0
328919,0.7236067972097331,3,0
329191,0.7236067972097331,2,0
330347,0.7236067972097331,3,0
341179,0.7236067972097331,2,0
341273,0.7236067972097331,3,0
344453,0.7236067972097331,3,0
350503,0.7236067972097331,3,0
356549,0.7236067972097331,3,0
356561,0.7236067972097331,3,0
363343,0.7236067972097331,3,0
366277,0.7236067972097331,3,0
370879,0.7236067972097331,3,0
374117,0.7236067972097331,3,0
382351,0.7236067972097331,3,0
384067,0.7236067972097331,3,0
386437,0.7236067972097331,3,1
387047,0.7236067972097331,3,0
388057,0.7236067972097331,3,0
388483,0.7236067972097331,3,0
388777,0.7236067972097331,3,0
389897,0.7236067972097331,3,0
394993,0.7236067972097331,3,0
406547,0.7236067972097331,3,0
407257,0.7236067972097331,3,0
410299,0.7236067972097331,3,0
307201,0.723606797209733,4,0
326563,0.723606797209733,4,0
331423,0.723606797209733,4,0
332411,0.723606797209733,4,0
336977,0.723606797209733,4,0
338237,0.723606797209733,6,0
342197,0.723606797209733,1,1
342547,0.723606797209733,1,0
368609,0.723606797209733,4,0
371071,0.723606797209733,4,0
375113,0.723606797209733,4,0
394363,0.723606797209733,4,0
401909,0.723606797209733,4,0
404671,0.723606797209733,4,0
418799,0.723606797209733,4,0
407657,0.7236067972097329,5,0
300221,0.7236067972097328,1,0
300343,0.7236067972097328,1,0
300557,0.7236067972097328,1,0
300799,0.7236067972097328,1,0
300857,0.7236067972097328,1,0
300893,0.7236067972097328,3,0
301153,0.7236067972097328,1,0
301177,0.7236067972097328,2,0
301243,0.7236067972097328,2,0
301361,0.7236067972097328,1,0
301409,0.7236067972097328,1,0
301711,0.7236067972097328,1,0
301901,0.7236067972097328,3,0
302191,0.7236067972097328,1,0
302587,0.7236067972097328,2,0
302969,0.7236067972097328,1,0
303011,0.7236067972097328,1,0
303053,0.7236067972097328,1,0
303257,0.7236067972097328,1,0
303293,0.7236067972097328,1,0
