p,score_mean_oos,n_oos_scores,dies_by_horizon
172687,0.883964253962251,1,0
173099,0.883964253962251,1,0
173827,0.883964253962251,1,0
174221,0.883964253962251,1,0
175649,0.883964253962251,1,0
175811,0.883964253962251,1,0
176791,0.883964253962251,1,0
177013,0.883964253962251,1,0
178781,0.883964253962251,1,0
178951,0.883964253962251,1,0
179327,0.883964253962251,1,0
180233,0.883964253962251,1,0
180473,0.883964253962251,1,0
180533,0.883964253962251,1,0
180811,0.883964253962251,1,0
180883,0.883964253962251,1,0
181693,0.883964253962251,1,0
181787,0.883964253962251,1,0
182773,0.883964253962251,1,0
183319,0.883964253962251,1,0
183709,0.883964253962251,1,1
184073,0.883964253962251,1,1
184693,0.883964253962251,1,0
184837,0.883964253962251,1,0
184913,0.883964253962251,1,0
184997,0.883964253962251,1,0
185183,0.883964253962251,1,0
185323,0.883964253962251,1,0
186299,0.883964253962251,1,0
186301,0.883964253962251,1,0
187027,0.883964253962251,1,0
187531,0.883964253962251,1,0
188563,0.883964253962251,1,0
189019,0.883964253962251,1,0
189187,0.883964253962251,1,0
189239,0.883964253962251,1,0
191533,0.883964253962251,1,1
191537,0.883964253962251,1,0
191999,0.883964253962251,1,0
192341,0.883964253962251,1,0
193153,0.883964253962251,1,0
193183,0.883964253962251,1,0
193301,0.883964253962251,1,0
194203,0.883964253962251,1,0
194371,0.883964253962251,1,0
194813,0.883964253962251,1,0
196501,0.883964253962251,1,0
196919,0.883964253962251,1,0
196927,0.883964253962251,1,0
197033,0.883964253962251,1,0
197269,0.883964253962251,1,0
197891,0.883964253962251,1,0
199267,0.883964253962251,1,0
201403,0.883964253962251,1,0
201769,0.883964253962251,1,1
203023,0.883964253962251,1,0
203383,0.883964253962251,1,0
203659,0.883964253962251,1,0
204007,0.883964253962251,1,0
204133,0.883964253962251,1,0
205033,0.883964253962251,1,0
205423,0.883964253962251,1,0
205463,0.883964253962251,1,0
205483,0.883964253962251,1,1
205847,0.883964253962251,1,0
205991,0.883964253962251,1,1
206477,0.883964253962251,1,0
206489,0.883964253962251,1,1
206933,0.883964253962251,1,0
208231,0.883964253962251,1,1
208891,0.883964253962251,1,0
209233,0.883964253962251,1,0
209597,0.883964253962251,1,0
209743,0.883964253962251,1,0
210283,0.883964253962251,1,0
210467,0.883964253962251,1,1
211349,0.883964253962251,1,1
211859,0.883964253962251,1,0
211879,0.883964253962251,1,1
212557,0.883964253962251,1,0
213193,0.883964253962251,1,0
213721,0.883964253962251,1,0
214243,0.883964253962251,1,0
214729,0.883964253962251,1,0
214811,0.883964253962251,1,0
214817,0.883964253962251,1,0
215077,0.883964253962251,1,1
216317,0.883964253962251,1,0
217057,0.883964253962251,1,0
218021,0.883964253962251,1,0
218857,0.883964253962251,1,0
100193,0.8839642539622509,1,0
158959,0.8839642539622509,1,0
149839,0.8839642539622505,1,1
102503,0.8529830211286268,2,1
103681,0.8529830211286268,2,0
106031,0.8529830211286268,2,0
111029,0.8529830211286268,2,0
119311,0.8529830211286268,2,0
120749,0.8529830211286268,2,0
121123,0.8529830211286268,2,0
122501,0.8529830211286268,2,0
125731,0.8529830211286268,2,0
127079,0.8529830211286268,2,1
128239,0.8529830211286268,2,0
130817,0.8529830211286268,2,1
134369,0.8529830211286268,2,0
135151,0.8529830211286268,2,1
135427,0.8529830211286268,2,0
143197,0.8529830211286268,2,1
143569,0.8529830211286268,2,0
144307,0.8529830211286268,2,1
144629,0.8529830211286268,2,0
145043,0.8529830211286268,2,0
148537,0.8529830211286268,2,0
148997,0.8529830211286268,2,0
154681,0.8529830211286268,2,0
154981,0.8529830211286268,2,0
156437,0.8529830211286268,2,0
160253,0.8529830211286268,2,0
162269,0.8529830211286268,2,1
164653,0.8529830211286268,2,0
167633,0.8529830211286268,2,0
170509,0.8529830211286268,2,0
171811,0.8529830211286268,2,0
173659,0.8529830211286268,2,0
175727,0.8529830211286268,2,0
177763,0.8529830211286268,2,0
177907,0.8529830211286268,2,0
180281,0.8529830211286268,2,0
180497,0.8529830211286268,2,0
185557,0.8529830211286268,2,0
192383,0.8529830211286268,2,1
193741,0.8529830211286268,2,0
193813,0.8529830211286268,2,0
195043,0.8529830211286268,2,0
197689,0.8529830211286268,2,0
198139,0.8529830211286268,2,1
199487,0.8529830211286268,2,0
199729,0.8529830211286268,2,0
201911,0.8529830211286268,2,0
201947,0.8529830211286268,2,0
202921,0.8529830211286268,2,0
203221,0.8529830211286268,2,0
207719,0.8529830211286268,2,0
211049,0.8529830211286268,2,0
213847,0.8529830211286268,2,0
214003,0.8529830211286268,2,1
216481,0.8529830211286268,2,0
100279,0.8529830211286267,2,0
103981,0.8529830211286267,2,0
104659,0.8529830211286267,2,1
105997,0.8529830211286267,2,0
107773,0.8529830211286267,2,0
108541,0.8529830211286267,2,0
110233,0.8529830211286267,2,0
111893,0.8529830211286267,2,0
113017,0.8529830211286267,2,0
120511,0.8529830211286267,2,0
121151,0.8529830211286267,2,0
121229,0.8529830211286267,2,0
122201,0.8529830211286267,2,0
