t,n_top,dt,dy,dx,dy_residual,dx_residual,confidence,q_eff
113,1000113,5,5.0000422,0.00051651309,10.000042,0.00051651309,0.96643933,9680.2968
114,1000114,5,5.0001241,0.00044167289,10.000124,0.00044167289,0.96564713,11320.595
115,1000115,5,5.0000385,-0.00047018942,10.000038,-0.00047018942,0.96853986,
116,1000116,5,4.9999752,-3.003929e-05,9.9999752,-3.003929e-05,0.95532032,
117,1000117,5,5.0001922,0.00017401285,10.000192,0.00017401285,0.96974888,28733.51
118,1000118,5,4.9999187,0.00012939863,9.9999187,0.00012939863,0.96304786,38640.286
119,1000119,5,4.999685,-0.00033074327,9.999685,-0.00033074327,0.9653815,
120,1000120,5,5.0001048,0.00074358316,10.000105,0.00074358316,0.96251097,6724.1974
121,1000121,5,4.9997137,0.00040492417,9.9997137,0.00040492417,0.95938865,12347.991
122,1000122,5,4.9999667,0.00029599012,9.9999667,0.00029599012,0.95258297,16892.456
123,1000123,5,4.9997421,-9.5050492e-05,9.9997421,-9.5050492e-05,0.95923485,
124,1000124,5,4.9996681,0.00096130354,9.9996681,0.00096130354,0.95088308,5201.2708
125,1000125,5,4.999996,0.0004380117,9.999996,0.0004380117,0.95610734,11415.22
126,1000126,5,5.0000986,0.0001677507,10.000099,0.0001677507,0.96281875,29806.135
127,1000127,5,4.9999219,-0.00023953946,9.9999219,-0.00023953946,0.96610271,
128,1000128,5,5.0000179,0.00057273072,10.000018,0.00057273072,0.96040292,8730.1062
129,1000129,5,5.0002094,-3.7889972e-05,10.000209,-3.7889972e-05,0.97356998,
130,1000130,5,4.9996983,-0.0002197757,9.9996983,-0.0002197757,0.96846184,
131,1000131,5,5.0001215,0.00058256669,10.000121,0.00058256669,0.969189,8582.7084
132,1000132,5,4.999811,-0.00057004346,9.999811,-0.00057004346,0.96552629,
133,1000133,5,4.9998472,0.00032198337,9.9998472,0.00032198337,0.96591118,15528.752
134,1000134,5,5.0003588,0.00056478962,10.000359,0.00056478962,0.96267279,8852.854
135,1000135,5,5.0002217,0.00051226274,10.000222,0.00051226274,0.9646691,9760.6161
136,1000136,5,5.0001696,-0.00051967947,10.00017,-0.00051967947,0.95793801,
137,1000137,5,4.9999065,-0.00033320089,9.9999065,-0.00033320089,0.96312713,
138,1000138,5,5.0001441,-3.0058379e-05,10.000144,-3.0058379e-05,0.9529419,
139,1000139,5,4.9999078,-8.4151343e-05,9.9999078,-8.4151343e-05,0.96471164,
140,1000140,5,4.9999302,-0.00015105444,9.9999302,-0.00015105444,0.95899406,
141,1000141,5,4.9998907,1.4910536e-05,9.9998907,1.4910536e-05,0.96736448,335333.35
142,1000142,5,4.9997759,-9.1092828e-06,9.9997759,-9.1092828e-06,0.96665117,
143,1000143,5,5.0002699,-0.00038786908,10.00027,-0.00038786908,0.9715212,
144,1000144,5,4.9996374,0.00021704292,9.9996374,0.00021704292,0.97240472,23036.918
145,1000145,5,4.9999956,-0.00016879862,9.9999956,-0.00016879862,0.97973836,
146,1000146,5,4.9998028,-0.00031023391,9.9998028,-0.00031023391,0.9713754,
147,1000147,5,4.9999487,0.00023183011,9.9999487,0.00023183011,0.97333226,21567.518
148,1000148,5,4.999545,0.00056660365,9.999545,0.00056660365,0.96142755,8824.5107
149,1000149,5,4.9995672,-6.9596285e-05,9.9995672,-6.9596285e-05,0.95418041,
150,1000150,5,4.9994622,0.00015423566,9.9994622,0.00015423566,0.95528878,32417.924
151,1000151,5,4.9994554,0.00059286626,9.9994554,0.00059286626,0.95762335,8433.6052
152,1000152,5,4.9994058,-0.00030870957,9.9994058,-0.00030870957,0.95263387,
153,1000153,5,4.9995748,-4.8850326e-05,9.9995748,-4.8850326e-05,0.96678105,
154,1000154,5,4.9998662,-0.00018881776,9.9998662,-0.00018881776,0.97308725,
155,1000155,5,5.0001148,-9.8570371e-05,10.000115,-9.8570371e-05,0.97227975,
156,1000156,5,4.9999984,1.8619411e-05,9.9999984,1.8619411e-05,0.95958458,268536.96
157,1000157,5,5.0002711,-0.0004224826,10.000271,-0.0004224826,0.95412562,
158,1000158,5,4.9998701,-0.00018396206,9.9998701,-0.00018396206,0.94672528,
159,1000159,5,5.0003852,3.23608e-05,10.000385,3.23608e-05,0.94466965,154507.92
160,1000160,5,5.0004264,-0.00031237233,10.000426,-0.00031237233,0.94449112,
161,1000161,5,4.9998644,1.3906986e-05,9.9998644,1.3906986e-05,0.96374666,359531.54
