metric,K,eps,mod_effect_score,layer_effect_score,corr_dist
n_components,240,1e-12,0.16064431649544808,0.00042828957820715353,-0.004055529707024846
gc_size,240,1e-12,0.14737582181348566,0.0004952805300925926,0.004165724967867358
gc_fraction,240,1e-12,3.960650949032134e-05,1.331041467596337e-07,0.00416572496786732
second_gc_size,240,1e-12,0.00106504199495935,1.6833738793961212e-06,0.013240836776772659
second_gc_fraction,240,1e-12,2.862246694327733e-07,4.523982476205714e-10,0.013240836776772737
isolated_nodes,240,1e-12,0.18802309860867722,0.0005064312180544563,-0.005652149755549816
triangle_count,240,1e-12,8763.306760386607,7.972782605626698,0.010756697263525296
transitivity,240,1e-12,2.8322767176671593e-05,7.27327485617618e-08,-0.002078042348931137
avg_clustering,240,1e-12,2.2998154470128334e-05,7.132280563157583e-08,0.0010642264724065142
adj_spectral_radius,240,1e-12,0.043142621890965106,0.00010975247517723198,0.009369568289984835
adj_entropy,240,1e-12,0.0005695548215508647,1.6287505908989754e-06,0.011471239153042335
n_components,240,1e-09,0.16064431649544808,0.00042828957820715353,-0.004055529707024846
gc_size,240,1e-09,0.14737582181348566,0.0004952805300925926,0.004165724967867358
gc_fraction,240,1e-09,3.960650949032134e-05,1.331041467596337e-07,0.00416572496786732
second_gc_size,240,1e-09,0.00106504199495935,1.6833738793961212e-06,0.013240836776772659
second_gc_fraction,240,1e-09,2.862246694327733e-07,4.523982476205714e-10,0.013240836776772737
isolated_nodes,240,1e-09,0.18802309860867722,0.0005064312180544563,-0.005652149755549816
triangle_count,240,1e-09,8763.306760386607,7.972782605626698,0.010756697263525296
transitivity,240,1e-09,2.8322767176671593e-05,7.27327485617618e-08,-0.002078042348931137
avg_clustering,240,1e-09,2.2998154470128334e-05,7.132280563157583e-08,0.0010642264724065142
adj_spectral_radius,240,1e-09,0.043142621890965106,0.00010975247517723198,0.009369568289984835
adj_entropy,240,1e-09,0.0005695548215508647,1.6287505908989754e-06,0.011471239153042335
n_components,240,1e-06,0.16064431649544808,0.00042828957820715353,-0.004055529707024846
gc_size,240,1e-06,0.14737582181348566,0.0004952805300925926,0.004165724967867358
gc_fraction,240,1e-06,3.960650949032134e-05,1.331041467596337e-07,0.00416572496786732
second_gc_size,240,1e-06,0.00106504199495935,1.6833738793961212e-06,0.013240836776772659
second_gc_fraction,240,1e-06,2.862246694327733e-07,4.523982476205714e-10,0.013240836776772737
isolated_nodes,240,1e-06,0.18802309860867722,0.0005064312180544563,-0.005652149755549816
triangle_count,240,1e-06,8763.306760386607,7.972782605626698,0.010756697263525296
transitivity,240,1e-06,2.8322767176671593e-05,7.27327485617618e-08,-0.002078042348931137
avg_clustering,240,1e-06,2.2998154470128334e-05,7.132280563157583e-08,0.0010642264724065142
adj_spectral_radius,240,1e-06,0.043142621890965106,0.00010975247517723198,0.009369568289984835
adj_entropy,240,1e-06,0.0005695548215508647,1.6287505908989754e-06,0.011471239153042335
