t,is_twin,K,eps,t_mod_13,dist_to_forbid_13,layer_allow_L1,layer_allow_L2,layer_allow_L3,n_components,gc_size,gc_fraction,second_gc_size,second_gc_fraction,isolated_nodes,triangle_count,transitivity,avg_clustering,adj_spectral_radius,adj_entropy
45780,1,120,1e-12,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
45780,1,120,1e-09,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
45780,1,120,1e-06,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
45780,1,240,1e-12,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
45780,1,240,1e-09,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
45780,1,240,1e-06,7,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
37331,1,120,1e-12,8,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
37331,1,120,1e-09,8,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
37331,1,120,1e-06,8,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
37331,1,240,1e-12,8,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
37331,1,240,1e-09,8,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
37331,1,240,1e-06,8,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
103148,1,120,1e-12,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
103148,1,120,1e-09,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
103148,1,120,1e-06,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
103148,1,240,1e-12,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
103148,1,240,1e-09,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
103148,1,240,1e-06,6,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
182853,1,120,1e-12,8,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
182853,1,120,1e-09,8,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
182853,1,120,1e-06,8,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
182853,1,240,1e-12,8,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
182853,1,240,1e-09,8,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
182853,1,240,1e-06,8,2,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
101777,1,120,1e-12,0,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
101777,1,120,1e-09,0,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
101777,1,120,1e-06,0,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
101777,1,240,1e-12,0,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
101777,1,240,1e-09,0,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
101777,1,240,1e-06,0,3,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
72685,1,120,1e-12,2,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
72685,1,120,1e-09,2,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
72685,1,120,1e-06,2,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
72685,1,240,1e-12,2,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
72685,1,240,1e-09,2,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
72685,1,240,1e-06,2,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
47149,1,120,1e-12,11,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
47149,1,120,1e-09,11,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
47149,1,120,1e-06,11,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
47149,1,240,1e-12,11,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
47149,1,240,1e-09,11,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
47149,1,240,1e-06,11,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
288,1,120,1e-12,2,1,1,1,1,18,44,0.7213114754098361,1,0.01639344262295082,17,2226.0,0.727371745997168,0.5951853683575118,22.82138466799806,1.6005456060466503
288,1,120,1e-09,2,1,1,1,1,18,44,0.7213114754098361,1,0.01639344262295082,17,2226.0,0.727371745997168,0.5951853683575118,22.82138466799806,1.6005456060466503
288,1,120,1e-06,2,1,1,1,1,18,44,0.7213114754098361,1,0.01639344262295082,17,2226.0,0.727371745997168,0.5951853683575118,22.82138466799806,1.6005456060466503
288,1,240,1e-12,2,1,1,1,1,12,50,0.819672131147541,1,0.01639344262295082,11,6239.0,0.8178362317574063,0.7179948428141253,33.03373319971106,1.3556617950505734
288,1,240,1e-09,2,1,1,1,1,12,50,0.819672131147541,1,0.01639344262295082,11,6239.0,0.8178362317574063,0.7179948428141253,33.03373319971106,1.3556617950505734
288,1,240,1e-06,2,1,1,1,1,12,50,0.819672131147541,1,0.01639344262295082,11,6239.0,0.8178362317574063,0.7179948428141253,33.03373319971106,1.3556617950505734
137373,1,120,1e-12,2,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
137373,1,120,1e-09,2,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
137373,1,120,1e-06,2,1,1,1,1,61,1,0.01639344262295082,1,0.01639344262295082,61,0.0,0.0,0.0,0.0,0.0
